"";"X.audiencefemme_0";"X.audiencefemme_01";"X.audiencefemme_02";"X.audiencefemme_03";"X.audiencefemme_04";"X.audiencefemme_05";"X.audiencefemme_06";"X.audiencefemme_07";"X.audiencefemme_08";"X.audiencefemme_09";"X.audiencefemme_1";"X.audiencefemme_103";"X.audiencefemme_11";"X.audiencefemme_112";"X.audiencefemme_116";"X.audiencefemme_12";"X.audiencefemme_128";"X.audiencefemme_13";"X.audiencefemme_135";"X.audiencefemme_14";"X.audiencefemme_141";"X.audiencefemme_147";"X.audiencefemme_15";"X.audiencefemme_16";"X.audiencefemme_17";"X.audiencefemme_18";"X.audiencefemme_19";"X.audiencefemme_199";"X.audiencefemme_2";"X.audiencefemme_22";"X.audiencefemme_23";"X.audiencefemme_27";"X.audiencefemme_28";"X.audiencefemme_29";"X.audiencefemme_3";"X.audiencefemme_31";"X.audiencefemme_34";"X.audiencefemme_35";"X.audiencefemme_36";"X.audiencefemme_38";"X.audiencefemme_41";"X.audiencefemme_47";"X.audiencefemme_49";"X.audiencefemme_55";"X.audiencefemme_61";"X.audiencefemme_62";"X.audiencefemme_63";"X.audiencefemme_69";"X.audiencefemme_76";"X.audiencefemme_79";"X.audiencefemme_8";"X.audiencefemme_83";"X.audiencefemme_85";"X.audiencefemme_89";"X.audiencefemme_9";"X.audiencefemme_96"
"devenir";0;0,65;0,5;0,35;0,77;0,54;0;0;0;0;0;0;0;0;0;0;0;0;0;3,91;0;0;0;0,92;2,13;0;0;0;0;0;0;0;1,11;0;0;6,24;0;3,12;0;0;0;2,05;0;10,42;0;0;0;0;0;0;0;0;0;0;0;0
"lors";0;0,22;0,5;0;0;0,54;0;0;0;0;0;0;1,26;0;0;0;0;0,37;0;1,3;0;0;1,3;0,92;2,13;0;0;0;0;0;0;0;0;0;20,83;0;1,42;0;0,9;0;0;8,21;0;10,42;0;0;0;0;0;0;0;0;0;0;0;0
"commenter";0;0;0;0;0;0;0;0;0;0;0;0;2,53;0;0;0;0;0;0;0;0;0;0,65;0,92;2,13;4,58;0;0;0;2,28;0;0;0;5;0;0;7,08;0;0;0;0;4,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"accidentellement";0;0,43;2,5;3,81;1,53;0;0;0;0;0;1,83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"évolution";0,86;0,65;0,5;0,35;0;0,54;0;0;0;0;1,83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"chine";0;0;1;0,35;1,53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,65;0,92;4,26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"substance";0;0,22;1;0,69;2,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"karim";0;0;0;0,35;0;0,54;0;0;0;0;0;0;0;0;0;0;0;4,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"vigi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rythmé";3,02;3,46;0,75;0;0;0,54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
