"";"X.audiencefemme_0";"X.audiencefemme_01";"X.audiencefemme_02";"X.audiencefemme_03";"X.audiencefemme_04";"X.audiencefemme_05";"X.audiencefemme_06";"X.audiencefemme_07";"X.audiencefemme_08";"X.audiencefemme_09";"X.audiencefemme_1";"X.audiencefemme_103";"X.audiencefemme_11";"X.audiencefemme_112";"X.audiencefemme_116";"X.audiencefemme_12";"X.audiencefemme_128";"X.audiencefemme_13";"X.audiencefemme_135";"X.audiencefemme_14";"X.audiencefemme_141";"X.audiencefemme_147";"X.audiencefemme_15";"X.audiencefemme_16";"X.audiencefemme_17";"X.audiencefemme_18";"X.audiencefemme_19";"X.audiencefemme_199";"X.audiencefemme_2";"X.audiencefemme_22";"X.audiencefemme_23";"X.audiencefemme_27";"X.audiencefemme_28";"X.audiencefemme_29";"X.audiencefemme_3";"X.audiencefemme_31";"X.audiencefemme_34";"X.audiencefemme_35";"X.audiencefemme_36";"X.audiencefemme_38";"X.audiencefemme_41";"X.audiencefemme_47";"X.audiencefemme_49";"X.audiencefemme_55";"X.audiencefemme_61";"X.audiencefemme_62";"X.audiencefemme_63";"X.audiencefemme_69";"X.audiencefemme_76";"X.audiencefemme_79";"X.audiencefemme_8";"X.audiencefemme_83";"X.audiencefemme_85";"X.audiencefemme_89";"X.audiencefemme_9";"X.audiencefemme_96"
"pre";133,28;157,29;159,36;157,24;147,91;142,63;145,23;157,77;160,92;164,74;158,34;180,18;142,48;106,38;137,12;158,37;102,04;110,71;245,06;153,39;88,24;133,47;159,5;162,32;162,2;145,63;156,07;142,86;123,08;132,57;114,16;203,12;122,86;189,27;138,46;149,21;150,67;161,22;124,2;108,91;130,43;174,24;168,95;167,83;108,7;127,79;157,89;190,91;102,8;139,71;112,78;163,48;134,33;134,45;170,33;161,62
"ver_sup";12,45;11,18;15,47;11,86;13,55;6,7;4,15;14,56;11,49;14,45;10,96;4,5;3,56;0;11,08;7,2;0;7,48;3,95;9,22;0;16,43;3,7;12,73;1,22;12,94;5,78;14,29;30,77;0,88;23,26;0;4,07;0;7,69;16,36;8,64;2,04;9,65;29,7;0;9,09;13,7;13,99;0;2,03;21,05;0;0;14,71;15,04;12,74;7,46;25,21;1,83;20,2
"adj_dem";1,1;1,14;2,33;2,76;7,66;2,76;2,07;3,64;0;5,78;0;0;1,78;0;7,62;4,8;0;2,09;0;3,35;0;8,21;0;2,55;0;8,09;0;0;0;1,76;10,57;0;0,81;0;15,38;2,62;10,56;1,02;1,93;0;0;3,03;0;0;0;2,03;0;0;0;7,35;0;2,12;7,46;8,4;0;0
"ono";1,1;1,33;1,91;1,38;0,59;0;0;1,21;0;2,89;3,65;4,5;0,89;14,18;0;3,6;20,41;2,09;3,95;0;7,35;2,05;0,92;0;3,66;0;5,78;0;15,38;0;4,23;0;0,81;3,15;0;1,31;0;0;1,93;0;0;3,03;0;0;0;0;0;0;0;0;0;0;2,49;0;1,83;0
"pro_per";38,45;38,66;41,11;43,31;43,02;29,94;43,57;47,33;45,98;43,35;23,14;9,01;8,01;0;28,39;35,39;0;18,85;11,86;24,31;0;69,82;16,18;22,92;14,63;43,69;0;14,29;30,77;20,19;120,51;31,25;27,66;18,93;84,62;73,3;34,55;33,67;34,75;69,31;72,46;36,36;27,4;55,94;115,94;44,62;10,53;63,64;46,73;22,06;75,19;57,32;72,14;25,21;7,33;80,81
"num";35,52;3,79;6,57;11,31;4,12;53,19;4,15;6,07;0;8,67;2,44;0;139,8;14,18;12,47;22,2;0;54,16;39,53;5,03;7,35;8,21;103,56;11,46;7,32;1,62;5,78;0;0;108,87;19,03;7,81;120,42;6,31;0;6,54;4,8;23,47;64,99;0;0;16,67;9,13;0;0;16,23;0;9,09;0;14,71;0;8,49;7,46;0;195,97;0
"adv";2,2;2,46;5,51;7,17;6,48;4,73;6,22;1,21;0;11,56;8,53;4,5;1,78;0;19,39;4,2;0;1,5;0;4,19;7,35;4,11;4,16;5,73;2,44;4,85;5,78;7,14;0;1,76;2,11;0;0;3,15;23,08;6,54;4,8;7,14;9,65;9,9;0;3,03;4,57;0;21,74;6,09;0;0;9,35;0;15,04;4,25;4,98;0;3,66;0
"ver";85,32;92,29;87,73;103,72;107,84;66,59;103,73;87,38;114,94;112,72;92,57;103,6;61,44;21,28;94,88;84,58;13,61;42,49;90,91;82,98;66,18;135,52;49,93;93,57;74,39;106,8;92,49;100;15,38;63,21;114,16;117,19;53,7;91,48;146,15;119,11;97,89;80,61;64,99;158,42;101,45;107,58;109,59;146,85;130,43;103,45;157,89;109,09;112,15;102,94;142,86;121,02;116,92;109,24;34,8;121,21
"adj_ind";0,73;0,57;2,33;4,97;5,3;4,33;10,37;3,64;0;0;0;0;1,78;7,09;6,93;4,8;0;1,2;3,95;0,84;0;8,21;0,92;3,18;4,88;3,24;0;0;0;0,88;2,11;0;0,81;0;0;3,93;5,76;1,02;4,5;0;28,99;9,09;0;0;0;6,09;0;0;9,35;0;0;0;2,49;0;0;0
"adj_pos";15,75;14,02;11,66;9,93;6,48;8,27;8,3;15,78;11,49;31,79;23,14;4,5;5,34;0;4,16;17,4;0;10,77;7,91;9,22;0;24,64;3,7;15,28;15,85;3,24;11,56;35,71;0;7,9;23,26;23,44;3,25;9,46;7,69;24,87;10,56;15,31;22,52;59,41;28,99;22,73;4,57;20,98;7,25;26,37;0;9,09;9,35;22,06;22,56;8,49;34,83;0;0;70,71
