"";"X.audiencefemme_0";"X.audiencefemme_01";"X.audiencefemme_02";"X.audiencefemme_03";"X.audiencefemme_04";"X.audiencefemme_05";"X.audiencefemme_06";"X.audiencefemme_07";"X.audiencefemme_08";"X.audiencefemme_09";"X.audiencefemme_1";"X.audiencefemme_103";"X.audiencefemme_11";"X.audiencefemme_112";"X.audiencefemme_116";"X.audiencefemme_12";"X.audiencefemme_128";"X.audiencefemme_13";"X.audiencefemme_135";"X.audiencefemme_14";"X.audiencefemme_141";"X.audiencefemme_147";"X.audiencefemme_15";"X.audiencefemme_16";"X.audiencefemme_17";"X.audiencefemme_18";"X.audiencefemme_19";"X.audiencefemme_199";"X.audiencefemme_2";"X.audiencefemme_22";"X.audiencefemme_23";"X.audiencefemme_27";"X.audiencefemme_28";"X.audiencefemme_29";"X.audiencefemme_3";"X.audiencefemme_31";"X.audiencefemme_34";"X.audiencefemme_35";"X.audiencefemme_36";"X.audiencefemme_38";"X.audiencefemme_41";"X.audiencefemme_47";"X.audiencefemme_49";"X.audiencefemme_55";"X.audiencefemme_61";"X.audiencefemme_62";"X.audiencefemme_63";"X.audiencefemme_69";"X.audiencefemme_76";"X.audiencefemme_79";"X.audiencefemme_8";"X.audiencefemme_83";"X.audiencefemme_85";"X.audiencefemme_89";"X.audiencefemme_9";"X.audiencefemme_96"
"devenir";-0,6719;0,2298;-0,29;-0,3634;0,2391;-0,1823;-0,1003;-0,1572;-0,0152;-0,0643;-0,1549;-0,0363;-0,2247;-0,0253;-0,2601;-0,312;-0,0222;-0,7952;-0,0479;1,8875;-0,022;-0,0989;-0,4422;0,2914;0,5788;-0,1236;-0,0293;-0,0282;-0,0135;-0,2491;-0,1025;-0,0239;0,3523;-0,0564;-0,027;5,2861;-0,2003;1,1938;-0,3173;-0,02;-0,0127;0,5656;-0,0403;1,2194;-0,029;-0,0955;-0,0197;-0,0242;-0,0211;-0,0267;-0,0256;-0,0921;-0,0804;-0,0217;-0,1;-0,02
"lors";-0,5374;-0,5366;-0,1828;-0,6747;-0,2986;0,2012;-0,0802;-0,1257;-0,0122;-0,0514;-0,1239;-0,0291;0,4699;-0,0203;-0,2081;-0,2496;-0,0178;-0,2347;-0,0383;0,4808;-0,0176;-0,0791;0,7238;0,3605;0,6631;-0,0989;-0,0234;-0,0225;-0,0108;-0,1993;-0,082;-0,0191;-0,2041;-0,0451;2,9477;-0,2559;0,5106;-0,1452;0,354;-0,016;-0,0101;3,9871;-0,0322;1,3137;-0,0232;-0,0764;-0,0158;-0,0194;-0,0169;-0,0214;-0,0205;-0,0736;-0,0643;-0,0173;-0,08;-0,016
"commenter";-0,4568;-0,9409;-0,8075;-0,5735;-0,2538;-0,3663;-0,0682;-0,1069;-0,0103;-0,0437;-0,1053;-0,0247;1,3326;-0,0172;-0,1768;-0,2122;-0,0151;-0,5407;-0,0326;-0,1481;-0,0149;-0,0672;0,3014;0,4141;0,726;1,809;-0,0199;-0,0191;-0,0092;1,2534;-0,0697;-0,0163;-0,1735;1,0732;-0,0184;-0,2175;4,9841;-0,1234;-0,2157;-0,0136;-0,0086;1,7204;-0,0274;-0,0184;-0,0197;-0,0649;-0,0134;-0,0165;-0,0144;-0,0182;-0,0174;-0,0626;-0,0547;-0,0147;-0,068;-0,0136
"accidentellement";-0,6987;-0,4162;3,807;5,9709;0,6599;-0,5602;-0,1043;-0,1635;-0,0158;-0,0669;0,5087;-0,0378;-0,2337;-0,0263;-0,2705;-0,3245;-0,0231;-0,827;-0,0498;-0,2265;-0,0228;-0,1028;-0,4599;-0,3233;-0,1383;-0,1285;-0,0305;-0,0293;-0,014;-0,2591;-0,1067;-0,0249;-0,2654;-0,0586;-0,0281;-0,3327;-0,2084;-0,1887;-0,33;-0,0208;-0,0132;-0,1433;-0,0419;-0,0281;-0,0302;-0,0993;-0,0205;-0,0252;-0,022;-0,0278;-0,0266;-0,0957;-0,0837;-0,0225;-0,104;-0,0208
"évolution";0,7973;0,7809;0,4468;0,2174;-0,1791;0,3482;-0,0481;-0,0754;-0,0073;-0,0309;0,8032;-0,0174;-0,1078;-0,0122;-0,1248;-0,1498;-0,0107;-0,3816;-0,023;-0,1045;-0,0105;-0,0474;-0,2122;-0,1492;-0,0638;-0,0593;-0,0141;-0,0135;-0,0065;-0,1196;-0,0492;-0,0115;-0,1225;2,7692;-0,013;-0,1535;-0,0962;-0,0871;-0,1523;-0,0096;-0,0061;-0,0661;-0,0193;-0,013;-0,0139;-0,0458;-0,0095;-0,0116;-0,0101;-0,0128;-0,0123;-0,0442;-0,0386;-0,0104;-0,048;-0,0096
"chine";-0,2956;-0,6088;1,6805;0,2408;1,2904;-0,237;-0,0441;-0,0691;-0,0067;-0,0283;-0,0681;-0,016;-0,0989;-0,0111;-0,1144;-0,1373;-0,0098;-0,3498;-0,0211;-0,0958;-0,0097;-0,0435;0,4425;0,5684;2,1217;-0,0544;-0,0129;-0,0124;-0,0059;-0,1096;-0,0451;-0,0105;-0,1123;-0,0248;-0,0119;-0,1407;-0,0881;-0,0798;-0,1396;-0,0088;-0,0056;-0,0606;-0,0177;-0,0119;-0,0128;-0,042;-0,0087;-0,0106;-0,0093;-0,0118;-0,0113;-0,0405;-0,0354;-0,0095;-0,044;-0,0088
"substance";-0,2687;-0,1807;1,8401;0,7733;2,413;-0,2154;-0,0401;-0,0629;-0,0061;-0,0257;-0,0619;-0,0145;-0,0899;-0,0101;-0,104;-0,1248;-0,0089;-0,318;-0,0192;-0,0871;-0,0088;-0,0395;-0,1768;-0,1243;-0,0532;-0,0494;-0,0117;-0,0113;-0,0054;-0,0996;-0,041;-0,0096;-0,1021;-0,0225;-0,0108;-0,1279;-0,0801;-0,0726;-0,1269;-0,008;-0,0051;-0,0551;-0,0161;-0,0108;-0,0116;-0,0382;-0,0079;-0,0097;-0,0084;-0,0107;-0,0102;-0,0368;-0,0322;-0,0087;-0,04;-0,008
"karim";-0,3762;-0,7749;-0,665;-0,1437;-0,209;0,3005;-0,0561;-0,088;-0,0085;-0,036;-0,0867;-0,0203;-0,1258;-0,0142;-0,1456;-0,1747;-0,0125;11,9234;-0,0268;-0,122;-0,0123;-0,0554;-0,2476;-0,1741;-0,0744;-0,0692;-0,0164;-0,0158;-0,0076;-0,1395;-0,0574;-0,0134;-0,1429;-0,0316;-0,0151;-0,1791;-0,1122;-0,1016;-0,1776;-0,0112;-0,0071;-0,0772;-0,0226;-0,0151;-0,0162;-0,0534;-0,011;-0,0136;-0,0118;-0,015;-0,0143;-0,0515;-0,045;-0,0121;-0,056;-0,0112
"vigi";-0,3762;-0,7749;-0,665;-0,4722;-0,209;-0,3016;-0,0561;-0,088;-0,0085;-0,036;-0,0867;-0,0203;-0,1258;-0,0142;-0,1456;-0,1747;-0,0125;16,1302;-0,0268;-0,122;-0,0123;-0,0554;-0,2476;-0,1741;-0,0744;-0,0692;-0,0164;-0,0158;-0,0076;-0,1395;-0,0574;-0,0134;-0,1429;-0,0316;-0,0151;-0,1791;-0,1122;-0,1016;-0,1776;-0,0112;-0,0071;-0,0772;-0,0226;-0,0151;-0,0162;-0,0534;-0,011;-0,0136;-0,0118;-0,015;-0,0143;-0,0515;-0,045;-0,0121;-0,056;-0,0112
"rythmé";3,0718;8,2166;0,2674;-0,9109;-0,4032;-0,2063;-0,1083;-0,1698;-0,0164;-0,0694;-0,1673;-0,0392;-0,2427;-0,0274;-0,2809;-0,337;-0,024;-0,8588;-0,0517;-0,2353;-0,0237;-0,1068;-0,4776;-0,3358;-0,1436;-0,1335;-0,0316;-0,0304;-0,0146;-0,2691;-0,1108;-0,0258;-0,2756;-0,0609;-0,0292;-0,3455;-0,2164;-0,196;-0,3426;-0,0216;-0,0137;-0,1488;-0,0435;-0,0292;-0,0313;-0,1031;-0,0213;-0,0261;-0,0228;-0,0289;-0,0277;-0,0994;-0,0869;-0,0234;-0,108;-0,0216
