"";"*audiencefemme_0";"*audiencefemme_01";"*audiencefemme_02";"*audiencefemme_03";"*audiencefemme_04";"*audiencefemme_05";"*audiencefemme_06";"*audiencefemme_07";"*audiencefemme_08";"*audiencefemme_09";"*audiencefemme_1";"*audiencefemme_103";"*audiencefemme_11";"*audiencefemme_112";"*audiencefemme_116";"*audiencefemme_12";"*audiencefemme_128";"*audiencefemme_13";"*audiencefemme_135";"*audiencefemme_14";"*audiencefemme_141";"*audiencefemme_147";"*audiencefemme_15";"*audiencefemme_16";"*audiencefemme_17";"*audiencefemme_18";"*audiencefemme_19";"*audiencefemme_199";"*audiencefemme_2";"*audiencefemme_22";"*audiencefemme_23";"*audiencefemme_27";"*audiencefemme_28";"*audiencefemme_29";"*audiencefemme_3";"*audiencefemme_31";"*audiencefemme_34";"*audiencefemme_35";"*audiencefemme_36";"*audiencefemme_38";"*audiencefemme_41";"*audiencefemme_47";"*audiencefemme_49";"*audiencefemme_55";"*audiencefemme_61";"*audiencefemme_62";"*audiencefemme_63";"*audiencefemme_69";"*audiencefemme_76";"*audiencefemme_79";"*audiencefemme_8";"*audiencefemme_83";"*audiencefemme_85";"*audiencefemme_89";"*audiencefemme_9";"*audiencefemme_96"
"pre";364;830;752;570;251;362;70;130;14;57;130;40;160;15;198;264;15;370;62;183;12;65;345;255;133;90;27;20;8;151;54;26;151;60;18;228;157;158;193;11;9;115;37;24;15;63;15;21;11;19;15;77;54;16;93;16
"ver_sup";34;59;73;43;23;17;2;12;1;5;9;1;4;0;16;12;0;25;1;11;0;8;8;20;1;8;1;2;2;1;11;0;5;0;1;25;9;2;15;3;0;6;3;2;0;1;2;0;0;2;2;6;3;3;1;2
"adj_dem";3;6;11;10;13;7;1;3;0;2;0;0;2;0;11;8;0;7;0;4;0;4;0;4;0;5;0;0;0;2;5;0;1;0;2;4;11;1;3;0;0;2;0;0;0;1;0;0;0;1;0;1;3;1;0;0
"ono";3;7;9;5;1;0;0;1;0;1;3;1;1;2;0;6;3;7;1;0;1;1;2;0;3;0;1;0;1;0;2;0;1;1;0;2;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"pro_per";105;204;194;157;73;76;21;39;4;15;19;2;9;0;41;59;0;63;3;29;0;34;35;36;12;27;0;2;2;23;57;4;34;6;11;112;36;33;54;7;5;24;6;8;16;22;1;7;5;3;10;27;29;3;4;8
"num";97;20;31;41;7;135;2;5;0;3;2;0;157;2;18;37;0;181;10;6;1;4;224;18;6;1;1;0;0;124;9;1;148;2;0;10;5;23;101;0;0;11;2;0;0;8;0;1;0;2;0;4;3;0;107;0
"adv";6;13;26;26;11;12;3;1;0;4;7;1;2;0;28;7;0;5;0;5;1;2;9;9;2;3;1;1;0;2;1;0;0;1;3;10;5;7;15;1;0;2;1;0;3;3;0;0;1;0;2;2;2;0;2;0
"ver";233;487;414;376;183;169;50;72;10;39;76;23;69;3;137;141;2;142;23;99;9;66;108;147;61;66;16;14;1;72;54;15;66;29;19;182;102;79;101;16;7;71;24;21;18;51;15;12;12;14;19;57;47;13;19;12
"adj_ind";2;3;11;18;9;11;5;3;0;0;0;0;2;1;10;8;0;4;1;1;0;4;2;5;4;2;0;0;0;1;1;0;1;0;0;6;6;1;7;0;2;6;0;0;0;3;0;0;1;0;0;0;1;0;0;0
"adj_pos";43;74;55;36;11;21;4;13;1;11;19;1;6;0;6;29;0;36;2;11;0;12;8;24;13;2;2;5;0;9;11;3;4;3;1;38;11;15;35;6;2;15;1;3;1;13;0;1;1;3;3;4;14;0;0;7
"aux";108;239;229;188;100;83;32;31;4;11;16;2;26;1;51;35;0;74;2;29;2;13;46;52;17;21;4;8;0;35;24;3;37;2;4;70;27;27;60;8;2;17;3;6;3;23;5;6;5;4;4;17;24;4;6;2
"nr";290;364;214;203;61;299;18;68;11;32;96;47;195;19;111;198;20;738;33;138;19;28;357;108;149;57;26;7;8;234;9;8;279;32;8;64;115;72;170;6;2;52;26;13;4;46;3;4;9;9;20;46;22;12;69;4
"pro_ind";20;43;42;24;12;12;5;3;1;2;5;1;2;0;19;21;0;13;1;3;1;4;3;12;0;3;0;0;0;2;9;0;2;0;2;19;9;8;13;0;0;1;1;4;2;5;0;0;0;0;1;5;0;1;3;2
"adj";164;439;429;266;156;189;37;50;4;18;40;11;61;19;92;96;14;195;14;84;11;30;118;94;24;24;10;4;2;50;29;1;56;7;4;88;55;59;109;6;4;35;8;6;7;28;5;9;8;5;6;17;11;7;30;7
"pro_dem";12;13;21;17;7;8;3;4;1;3;2;1;5;0;17;19;0;19;0;4;0;3;9;7;0;4;0;2;1;1;8;0;8;1;0;16;7;3;21;1;0;4;1;2;1;2;1;0;3;1;1;2;4;0;2;2
"nom";597;1189;1006;751;371;599;100;192;17;66;199;50;254;37;351;370;46;861;53;297;43;100;527;392;215;154;50;35;22;254;73;27;254;100;22;300;252;270;339;14;17;146;56;21;32;105;23;24;23;32;19;99;97;25;114;16
"art_ind";136;301;314;276;135;100;31;23;3;15;26;11;34;6;77;49;5;104;14;47;5;23;45;62;35;24;8;6;3;19;20;5;22;16;4;68;43;46;45;7;3;29;15;7;12;32;11;4;4;14;3;23;18;8;11;2
"adj_int";0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"pro_pos";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"nom_sup";10;6;13;18;6;12;2;2;1;3;0;0;7;0;3;13;0;32;2;2;1;2;8;8;4;2;1;1;3;8;0;3;9;4;0;8;3;2;9;0;0;4;0;1;0;3;0;0;0;4;0;4;3;2;1;0
"adv_sup";70;146;121;79;31;51;11;18;2;9;11;5;10;2;42;29;0;49;0;25;0;13;13;32;11;19;0;2;3;15;13;8;12;4;8;62;15;11;55;1;2;20;2;9;2;12;1;5;1;4;6;9;12;3;2;1
"adj_sup";3;4;2;3;0;2;0;0;0;2;0;0;1;0;4;0;1;1;0;0;0;0;0;2;2;2;0;0;0;2;3;0;0;0;0;7;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"art_def";259;454;446;335;158;262;54;94;6;26;113;18;94;30;133;174;40;302;19;160;27;43;250;188;101;69;20;21;7;105;40;15;117;41;13;107;120;114;131;4;8;60;20;8;15;35;8;12;15;12;12;42;29;14;76;9
"adj_num";6;12;5;10;0;2;1;2;0;0;1;0;0;1;1;3;0;6;1;3;0;0;3;13;5;4;0;1;0;1;0;4;2;0;1;1;1;4;8;0;0;4;1;1;1;2;0;0;0;0;0;0;0;1;0;0
"pro_rel";62;140;118;64;36;28;16;12;1;6;17;3;12;2;24;21;1;33;8;15;1;8;11;24;5;17;1;3;1;9;11;1;7;1;3;24;17;12;21;4;1;8;1;2;1;10;1;1;4;1;4;10;11;4;1;2
"con";104;224;181;108;42;81;13;46;6;16;30;4;10;1;54;67;0;74;3;37;2;20;31;59;17;14;4;6;1;19;27;4;12;7;6;76;36;32;45;6;5;25;11;5;5;25;4;3;3;6;6;18;13;2;4;7
