"";"banalfreq";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_M6";"X.chaine_NRJ12";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1"
"ahmed";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"guerre";6;-0,005;-0,0672;-0,3829;0,6121;0,5986;-0,1772;-0,2267;-0,0899;-0,0345;-0,0547;-0,1427;-0,0169;-0,0401;-0,3246;1,1375
"suivre";8;-0,0067;0,7294;-0,1552;-0,1622;0,4194;0,3771;-0,8873;-0,1199;-0,0461;-0,0729;-0,1903;-0,0225;-0,0534;0,6216;0,323
"poser";11;-0,0092;-0,1233;-0,7022;-0,2231;1,057;0,7951;-1,2202;0,5004;0,8674;1,681;-0,2617;-0,0309;-0,0735;-0,2042;-0,3852
"hassaine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"fou";10;-0,0083;-0,112;-0,6383;-0,2028;0,6741;0,3067;-1,1092;1,3653;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;-0,1742;1,4345
"expérience";18;-0,015;0,4299;-1,1494;-0,3651;1,7516;-0,532;-1,2018;-0,2699;-0,1037;-0,1641;0,2027;-0,0506;0,6163;0,451;1,3412
"internet";8;-0,0067;1,7867;-0,5106;0,5063;-0,2081;-0,2363;-0,8873;-0,1199;0,9973;1,9564;-0,1903;-0,0225;-0,0534;0,2;-0,2801
"lilia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"époque";15;-0,0125;-0,1681;-0,9577;0,2978;0,6661;1,8505;-1,6642;0,3934;-0,0864;-0,1367;-0,3569;-0,0422;-0,1002;0,5967;0,4873
"italie";6;-0,005;-0,0672;-0,3829;0,6121;0,1846;0,4748;-0,6654;-0,0899;-0,0345;-0,0547;-0,1427;-0,0169;-0,0401;1,6129;-0,21
"chaîne";4;-0,0033;-0,0448;-0,2552;-0,0811;0,2951;-0,1181;-0,4435;-0,06;-0,023;-0,0364;-0,0951;-0,0112;-0,0267;1,1552;0,5597
"leçon";3;-0,0025;-0,0336;-0,1914;0,8838;-0,2303;-0,0886;0,2716;1,0072;-0,0173;-0,0273;-0,0713;-0,0084;-0,02;-0,1623;-0,105
"plan";12;-0,01;-0,1345;-0,766;-0,2434;-0,4001;0,2534;-0,6785;1,2182;-0,0691;0,6525;-0,2854;-0,0338;-0,0802;0,8014;1,2214
"depétrini";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"nucléaire";10;-0,0083;0,6432;-0,226;0,4282;0,3018;-0,2955;-1,1092;1,3653;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;0,9892;-0,3501
"victime";11;-0,0092;-0,1233;-0,7022;1,0608;1,6621;-0,325;-1,2202;-0,1649;-0,0633;0,686;-0,2617;-0,0309;-0,0735;-0,5952;1,3213
"frère";12;-0,01;0,5747;-0,766;0,3675;0,9381;0,2534;-1,3311;1,2182;-0,0691;-0,1093;-0,2854;-0,0338;-0,0802;-0,6494;1,2214
"tirailleur";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ambre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"temps";22;1,383;-0,2466;-1,405;-0,1339;0,3117;0,3672;-1,5716;0,7688;0,5967;-0,2005;-0,5236;-0,0619;0,5418;1,4378;0,6195
"façon";7;-0,0058;-0,0784;-0,4467;0,5547;0,4988;1,1386;-0,7763;-0,1049;-0,0403;-0,0638;-0,1665;-0,0197;-0,0468;0,7133;-0,2451
"seul";17;-0,0142;-0,1905;-1,0855;-0,3448;0,271;0,5103;-1,1115;0,9519;-0,0979;0,5228;1,2321;-0,0478;0,638;0,4945;-0,21
"chef";12;-0,01;1,4433;-0,766;0,3675;0,9381;-0,3546;-1,3311;0,4696;-0,0691;-0,1093;-0,2854;-0,0338;0,7732;0,3782;0,2076
"appeler";9;-0,0075;0,6836;-0,5744;-0,1825;0,3549;-0,2659;-0,9982;0,5734;-0,0518;-0,082;-0,2141;-0,0253;-0,0601;1,1059;0,8238
"carbonnier";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"zone";7;-0,0058;0,782;-0,4467;-0,1419;1,0493;0,4216;-0,7763;-0,1049;-0,0403;-0,0638;-0,1665;-0,0197;-0,0468;0,7133;-0,2451
"nom";9;-0,0075;0,6836;-0,5744;-0,1825;-0,2531;0,3393;-0,9982;-0,1349;-0,0518;-0,082;-0,2141;-0,0253;-0,0601;1,8382;0,8238
