"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_M6";"X.chaine_NRJ12";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1"
"devenir";0;0;0,64;0;4,84;1,33;0,39;5,14;6,62;4,2;0;0;0;1,49;4,5
"commenter";0;0;0;0;3,77;3,98;0;2,57;0;0;0;0;0;0;2,25
"accidentellement";0;0;0;1,91;0;1,33;0;0;0;0;39,28;0;0;0;0
"évolution";0;0;0;0;0,54;9,28;0;0;0;0;0;27,03;0;1,49;0
"chine";0;3,42;0;1,91;0;1,33;0;2,57;0;0;0;0;0;5,21;0
"substance";0;0;0;0;0,54;0;0;0;0;0;0;0;0;6,7;0
"karim";0;0;8,3;0;0;0;0;2,57;0;0;0;0;0;0;0
"vigi";0;0;8,93;0;0;0;0;0;0;0;0;0;0;0;0
"rythmé";0;3,42;0;0;0;0;10,06;0;0;0;0;0;0;0;0
"unir";0;3,42;0;1,91;1,08;1,33;0;0;19,87;4,2;0;0;5,71;11,91;2,25
"sortir";0;17,12;0;1,91;1,61;2,65;0,39;5,14;0;4,2;0;0;0;0,74;2,25
"commentaire";0;6,85;2,55;5,74;0;1,33;0;0;0;0;0;0;0;0;0
"zorbb";0;0;0;0;0;14,59;0;0;0;0;0;0;0;0;0
"consacrer";0;0;0;3,82;10,23;0;0;0;0;0;0;0;0;0;1,13
"sentir";0;0;0,64;0;5,38;3,98;0;0;0;0;0;0;0;0;2,25
"député";0;0;16,59;0;0,54;0;0;2,57;0;0;0;0;0;0;0
"perquisition";0;0;12,76;0;0;0;0;0;0;0;0;0;0;0;0
"ahmed";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"affaire";0;3,42;5,74;1,91;1,61;9,28;0;0;0;8,4;0;0;0;0;4,5
"vigier";0;0;8,93;0;0;0;0;0;0;0;0;0;0;0;0
"rick";0;0;0;0;0;0;4,26;0;0;0;0;0;0;0;0
"guerre";0;0;0;1,91;1,08;0;0,39;0;0;0;0;0;0;0;2,25
"parler";0;0;1,91;3,82;16,15;7,96;0;0;0;4,2;0;0;0;0;7,88
"fry";0;0;0;1,91;0;0;0;0;0;0;73,65;0;0;0;0
"penser";0;0;0;0;2,69;1,33;0,39;2,57;6,62;12,61;0;0;5,71;2,98;9,01
"suivre";0;3,42;0,64;0;1,08;1,33;0;0;0;0;0;0;0;1,49;1,13
"évoquer";0;3,42;3,83;15,3;2,69;5,31;0;2,57;0;0;0;0;11,43;3,72;3,38
"tête";0;6,85;0,64;0;1,08;1,33;18,96;0;0;0;0;0;0;0;1,13
"possible";0;0;0;0;2,15;1,33;0;0;0;0;0;0;5,71;8,19;1,13
"poser";0;0;0;0;2,15;2,65;0;2,57;6,62;8,4;0;0;0;0,74;0
"hassaine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"théorie";0;0;0;1,91;0,54;0;0;0;0;0;0;81,08;0;4,47;0
"fou";0;0;0;0;1,61;1,33;0;5,14;0;0;0;0;0;0,74;3,38
"expérience";0;3,42;0;0;3,77;0;0,39;0;0;0;1,64;0;5,71;2,23;4,5
"corps";0;0;0;0;3,23;0;0;5,14;0;4,2;0;27,03;0;0;6,76
"solère";0;0;8,93;0;0;0;0;0;0;0;0;0;0;0;0
"reportage";0;0;0;3,82;13,99;2,65;0;5,14;0;0;0;0;0;0;12,39
"explorer";0;0;0;1,91;0;0;0,39;0;0;0;0;0;0;6,7;0
"convaincre";0;0;0;0;1,08;1,33;0;0;0;12,61;0;0;0;0;5,63
"internet";0;6,85;0;1,91;0,54;0;0;0;6,62;8,4;0;0;0;0,74;0
"city";0;0;0;0;0;0;20,51;0;0;0;0;0;0;0;2,25
"sophie";0;0;0;3,82;8,61;0;0;0;0;0;0;0;0;0;4,5
"affirmer";0;0;0;1,91;1,61;1,33;0;2,57;0;4,2;0;54,05;17,14;2,98;4,5
