"";"";"";"";"cryogénisé";""
"1";"cryogénisé";"2.03552471139096";"3.91092936111423";"3.5026257059837";"6"
"2";"new_yorkais";"2.03552471139096";"3.91092936111423";"3.5026257059837";"7"
"3";"prétexte";"-1.80040033913688";"0.308505410220747";"3.37279243294497";"11"
"4";"fatou";"-1.80040033913688";"0.308505410220747";"3.37279243294497";"12"
"5";"millénaire";"1.94871574142325";"3.736124554774";"3.35951770926769";"13"
"6";"incident";"-1.70470236470469";"0.290250969494244";"3.07446383232484";"14"
"7";"provoquer";"-1.65750286792763";"0.278444221397228";"2.91381423646386";"16"
"8";"île";"-1.61616941710183";"0.269144700036292";"2.80438449123746";"17"
"9";"teen";"-1.80040033913688";"0.308505410220747";"2.31162975480746";"23"
"10";"robin";"-1.76076906625773";"0.300482463203606";"2.21956237682969";"26"
"11";"batman";"-1.76076906625773";"0.300482463203606";"2.21956237682969";"28"
"12";"accidentellement";"1.93530702457027";"3.69422253523217";"2.10436830255005";"31"
"13";"super";"-1.56546211682785";"0.262013537145937";"2.0791139501884";"33"
"14";"humour";"-1.52386491247767";"0.20517558145263";"1.97481833154101";"35"
"15";"environnement";"1.75268520759731";"3.30135406338304";"1.95999990088559";"36"
"16";"sauver";"-1.50099075508807";"0.258209926058689";"1.82096220271871";"39"
"17";"jump";"-1.80040033913688";"0.308505410220747";"1.48210406682954";"56"
"18";"décontraction";"-1.80040033913688";"0.308505410220747";"1.44448271362047";"58"
"19";"tamaran";"-1.80040033913688";"0.308505410220747";"1.44448271362047";"59"
"20";"aile";"-1.80040033913688";"0.308505410220747";"1.44448271362047";"60"
"21";"starfire";"-1.80040033913688";"0.308505410220747";"1.44448271362047";"61"
"22";"raven";"-1.80040033913688";"0.308505410220747";"1.44448271362047";"62"
"23";"gotham";"-1.80040033913688";"0.308505410220747";"1.44448271362047";"63"
"24";"prince";"-1.80040033913688";"0.308505410220747";"1.44448271362047";"65"
"25";"conquérant";"-1.80040033913688";"0.308505410220747";"1.44448271362047";"66"
"26";"rythmé";"-1.72258139403097";"0.28630699347057";"1.36781771537975";"69"
"27";"ados";"-1.72160326772545";"0.297750349520427";"1.36781771537975";"70"
"28";"entraîner";"-1.72700909306438";"0.293648100929745";"1.36781771537975";"71"
"29";"eric";"1.1245163773358";"-1.3527073654369";"1.3595094497333";"72"
"30";"disciple";"-1.80040033913688";"0.308505410220747";"1.33167647073399";"75"
"31";"adopter";"-1.65937708876567";"0.27734726085721";"1.30763626992819";"78"
"32";"adolescent";"-1.71813677642034";"0.290329823092017";"1.25793699957546";"83"
"33";"créature";"0.142198234261079";"-0.0897586871433104";"1.25683848150112";"84"
"34";"danger";"-1.595910178642";"0.264589012529847";"1.25675175638999";"85"
"35";"cirque";"-1.5555816031386";"0.210448321008942";"1.25675175638999";"86"
"36";"figure";"-1.60322498524451";"0.271321919091166";"1.25675175638999";"87"
"37";"peret";"0.327120588971754";"0.0181187713120966";"1.24649506658011";"90"
"38";"zorbb";"0.162038049375207";"-0.0551007161901826";"1.22263409767065";"92"
"39";"raid";"1.35069199441933";"-1.66272199474255";"1.22024626627748";"94"
"40";"pomart";"1.35069199441933";"-1.66272199474255";"1.22024626627748";"97"
"41";"intervenir";"-1.53325316381062";"0.250506986105115";"1.21223864768295";"98"
"42";"examiner";"0.154046273332113";"-0.107459604740401";"1.2118975289125";"99"
