"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_Gulli";"*chaine_M6";"*chaine_NRJ12";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1"
"devenir";0;0;1;0;9;1;1;2;1;1;0;0;0;2;4
"commenter";0;0;0;0;7;3;0;1;0;0;0;0;0;0;2
"accidentellement";0;0;0;1;0;1;0;0;0;0;24;0;0;0;0
"évolution";0;0;0;0;1;7;0;0;0;0;0;2;0;2;0
"chine";0;1;0;1;0;1;0;1;0;0;0;0;0;7;0
"substance";0;0;0;0;1;0;0;0;0;0;0;0;0;9;0
"karim";0;0;13;0;0;0;0;1;0;0;0;0;0;0;0
"vigi";0;0;14;0;0;0;0;0;0;0;0;0;0;0;0
"rythmé";0;1;0;0;0;0;26;0;0;0;0;0;0;0;0
"unir";0;1;0;1;2;1;0;0;3;1;0;0;1;16;2
"sortir";0;5;0;1;3;2;1;2;0;1;0;0;0;1;2
"commentaire";0;2;4;3;0;1;0;0;0;0;0;0;0;0;0
"zorbb";0;0;0;0;0;11;0;0;0;0;0;0;0;0;0
"consacrer";0;0;0;2;19;0;0;0;0;0;0;0;0;0;1
"sentir";0;0;1;0;10;3;0;0;0;0;0;0;0;0;2
"député";0;0;26;0;1;0;0;1;0;0;0;0;0;0;0
"perquisition";0;0;20;0;0;0;0;0;0;0;0;0;0;0;0
"ahmed";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"affaire";0;1;9;1;3;7;0;0;0;2;0;0;0;0;4
"vigier";0;0;14;0;0;0;0;0;0;0;0;0;0;0;0
"rick";0;0;0;0;0;0;11;0;0;0;0;0;0;0;0
"guerre";0;0;0;1;2;0;1;0;0;0;0;0;0;0;2
"parler";0;0;3;2;30;6;0;0;0;1;0;0;0;0;7
"fry";0;0;0;1;0;0;0;0;0;0;45;0;0;0;0
"penser";0;0;0;0;5;1;1;1;1;3;0;0;1;4;8
"suivre";0;1;1;0;2;1;0;0;0;0;0;0;0;2;1
"évoquer";0;1;6;8;5;4;0;1;0;0;0;0;2;5;3
"tête";0;2;1;0;2;1;49;0;0;0;0;0;0;0;1
"possible";0;0;0;0;4;1;0;0;0;0;0;0;1;11;1
"poser";0;0;0;0;4;2;0;1;1;2;0;0;0;1;0
"hassaine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"théorie";0;0;0;1;1;0;0;0;0;0;0;6;0;6;0
"fou";0;0;0;0;3;1;0;2;0;0;0;0;0;1;3
"expérience";0;1;0;0;7;0;1;0;0;0;1;0;1;3;4
"corps";0;0;0;0;6;0;0;2;0;1;0;2;0;0;6
"solère";0;0;14;0;0;0;0;0;0;0;0;0;0;0;0
"reportage";0;0;0;2;26;2;0;2;0;0;0;0;0;0;11
"explorer";0;0;0;1;0;0;1;0;0;0;0;0;0;9;0
"convaincre";0;0;0;0;2;1;0;0;0;3;0;0;0;0;5
"internet";0;2;0;1;1;0;0;0;1;2;0;0;0;1;0
"city";0;0;0;0;0;0;53;0;0;0;0;0;0;0;2
"sophie";0;0;0;2;16;0;0;0;0;0;0;0;0;0;4
"affirmer";0;0;0;1;3;1;0;1;0;1;0;4;3;4;4
"semaine";0;4;1;0;8;1;0;3;0;2;0;2;0;0;0
"comédien";0;0;0;0;5;0;0;1;0;0;0;0;0;0;0
"différent";0;0;1;1;6;0;0;0;0;0;0;0;2;1;0
"extra_terrestre";0;0;0;1;6;1;0;0;0;2;0;0;0;0;1
"monde";0;1;2;2;12;4;50;3;4;2;0;0;7;33;8
"visiteur";0;0;0;0;0;0;0;0;0;0;0;0;0;18;9
"naulleau";0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
"lilia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"fille";0;1;0;2;12;4;104;1;0;0;3;0;0;0;5
"désert";0;0;0;0;2;2;0;2;0;1;0;0;0;14;0
"humoriste";0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
"apparition";0;0;0;0;1;0;0;0;0;0;0;0;1;4;10
"venir";0;1;0;2;6;7;4;1;5;2;0;4;1;6;9
"tomber";2;0;0;0;4;4;0;2;0;1;0;0;0;1;3
"laisser";0;0;0;0;3;3;0;1;0;3;0;0;0;10;1
"époque";0;0;0;1;4;4;0;1;0;0;0;0;0;3;2
"intervenir";0;0;0;0;2;0;26;1;0;0;0;0;0;0;1
"origine";0;1;0;2;5;4;0;0;0;0;1;4;4;12;1
"image";0;0;0;2;14;10;0;2;1;0;0;0;0;6;6
"mythe";0;0;0;4;0;5;0;0;0;0;0;0;1;0;1
"italie";0;0;0;1;1;1;0;0;0;0;0;0;0;3;0
"édition";0;5;0;7;2;0;0;0;0;0;0;0;0;0;0
"répondre";0;0;0;1;4;0;0;4;0;1;0;0;0;0;0
"présenter";0;2;0;4;28;12;0;3;0;1;0;0;1;3;3
"chaîne";0;0;0;0;1;0;0;0;0;0;0;0;0;2;1
