"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_M6";"X.chaine_NRJ12";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1"
"devenir";-0,0184;-0,2466;-0,7529;-0,4464;2,3001;-0,2436;-1,5716;0,7688;0,5967;0,432;-0,5236;-0,0619;-0,147;-0,288;1,0681
"commenter";-0,0108;-0,1457;-0,8299;-0,2637;2,6971;1,307;-1,4421;0,4418;-0,0749;-0,1185;-0,3093;-0,0366;-0,0869;-0,7035;0,5742
"accidentellement";-0,0217;-0,2915;-1,6608;-0,1764;-1,9981;-0,3164;-2,8862;-0,3901;-0,1498;-0,237;28,2839;-0,0732;-0,1738;-1,4079;-0,911
"évolution";-0,01;-0,1345;-0,766;-0,2434;-0,4001;5,515;-1,3311;-0,1799;-0,0691;-0,1093;-0,2854;2,5851;-0,0802;0,3782;-0,4202
"chine";-0,0092;0,6071;-0,7022;0,3961;-0,8447;0,2783;-1,2202;0,5004;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;4,194;-0,3852
"substance";-0,0083;-0,112;-0,6383;-0,2028;-0,3003;-0,2955;-1,1092;-0,1499;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;7,4414;-0,3501
"karim";-0,0117;-0,1569;10,169;-0,2839;-1,0753;-0,4137;-1,5532;0,4165;-0,0806;-0,1276;-0,3331;-0,0394;-0,0935;-0,7577;-0,4903
"vigi";-0,0117;-0,1569;12,1242;-0,2839;-1,0753;-0,4137;-1,5532;-0,2099;-0,0806;-0,1276;-0,3331;-0,0394;-0,0935;-0,7577;-0,4903
"rythmé";-0,0225;0,2993;-1,7248;-0,5479;-2,075;-0,7983;15,5445;-0,4051;-0,1556;-0,2462;-0,6427;-0,076;-0,1805;-1,4621;-0,9461
"unir";-0,0234;0,2885;-1,7887;-0,1988;-0,8376;-0,3544;-3,1085;-0,4201;2,2397;0,3521;-0,6665;-0,0788;0,4557;8,0549;-0,201
