"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_M6";"X.chaine_NRJ12";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1"
"pre";1,1312;-0,3932;-13,8625;-1,1295;1,6314;-0,4701;2,1241;1,4669;-1,3418;-1,3773;11,4852;-0,5975;-1,7362;-0,7464;0,4289
"ver_sup";1,2671;-2,5946;-2,3007;-0,7971;0,4692;0,385;0,5013;-0,4433;0,7136;1,6496;-7,2843;1,5709;-0,2615;5,6255;-1,9347
"adj_dem";-0,1692;-0,2786;-1,9781;-0,5675;1,7828;0,4623;-5,6266;0,7955;-0,212;-1,0581;-1,9943;0,5958;1,791;2,542;0,2894
"ono";-0,0885;-1,0458;-2,2924;-0,2156;0,4611;1,7298;-3,1056;1,3926;0,9516;0,8024;-1,0425;-0,2217;-0,4621;-0,291;1,2847
"pro_per";1,9179;-3,3144;-12,4884;-3,1339;2,1478;0,3928;0,292;-5,1854;0,8637;0,6222;5,8964;1,5523;0,5232;0,5992;2,2748
"num";-1,1897;10,3975;100,3946;12,3047;-14,6417;-7,8152;-48,7452;1,9277;-6,8815;-6,4033;1,7793;-2,981;-4,1308;-20,4165;8,1637
"adv";-0,2971;0,7624;-3,9252;-1,7624;-0,3253;8,5508;-9,1505;0,2922;3,7489;-0,5334;6,3503;0,2931;1,5719;-2,3187;-0,5335
"ver";0,6626;-9,6663;-50,3255;-2,6473;3,6574;3,3011;-1,1002;-2,6202;6,9151;5,758;5,8902;1,7815;0,3723;-0,3237;2,7826
"adj_ind";-0,1732;-0,8101;-0,4785;-1,3036;0,289;2,0955;-5,7915;-1,3249;-0,222;-1,091;-2,0404;1,7452;1,7471;4,0736;0,7818
"adj_pos";-0,3387;-1,1811;-11,5189;-0,8765;3,8711;1,609;0,6421;-0,5393;0,332;5,9315;-3,4973;0,3253;-1,3857;-4,7975;2,3738
"aux";-0,3644;-3,3551;-7,719;-2,614;-6,8589;-1,4586;8,035;-1,1832;-2,2475;0,3437;6,5914;0,5553;6,2833;15,8386;-2,549
"nr";-2,4419;13,8588;159,0591;20,9981;0,8478;-2,7779;-19,9494;-0,6529;0,6542;-1,907;-2,8419;-9,5806;-11,1462;-87,2888;-0,8222
"pro_ind";0,2053;-1,9557;-4,1094;-1,8376;1,8539;0,4917;1,7025;-0,8001;0,4875;-0,4856;-1,9447;1,0088;0,4072;1,2536;-0,5124
"adj";-0,3498;0,7187;-0,4723;-3,119;-10,9753;-3,7728;20,9455;-0,4671;-1,8119;-1,1746;-0,3408;-3,121;1,3797;15,1293;-3,4479
"pro_dem";0,2883;0,3361;-3,1298;-0,3674;2,985;1,4926;-8,9839;2,6093;0,629;0,4863;-3,7018;-0,7871;0,4951;0,5832;-0,291
"nom";-0,8977;2,2679;4,2604;1,132;1,3508;0,3616;-0,3901;0,85;-2,3461;-1,4432;-5,0347;-0,6689;0,5029;-1,9082;-1,2471
"art_ind";0,2812;-7,0889;-9,7289;-2,0416;-4,1512;-1,014;1,9236;-3,4056;-0,6406;0,5411;24,0567;0,8798;3,7728;12,7608;-1,2269
"adj_int";1,5303;0,5257;-0,3369;-0,2072;0,779;-0,4665;-0,6111;0,4173;-0,0752;-0,1359;-0,1532;-0,0326;0,8393;-0,1964;-0,1465
"pro_pos";-0,0013;-0,0154;-0,0337;-0,0207;-0,11;-0,0466;-0,0611;-0,0209;-0,0075;-0,0136;-0,0153;-0,0033;-0,0068;0,9007;-0,0486
"nom_sup";0,3505;1,3619;2,7864;1,109;-0,3312;0,9892;-12,0653;0,4887;-0,4679;1,0701;-2,1157;0,7367;-0,389;-0,4941;0,4681
"adv_sup";1,931;-4,1838;-2,1266;-6,3285;-1,9205;1,1217;8,383;1,346;-1,4377;1,7846;-6,5042;1,0835;-1,645;2,0763;0,2991
"adj_sup";-0,0533;0,3772;-1,3818;0,24;3,2297;0,6285;-1,6491;0,9002;0,2938;0,4418;-0,6283;-0,1336;-0,2786;-1,5539;-0,4472
"art_def";-0,4116;3,8533;-2,4523;1,7055;0,7067;0,7033;-8,1701;3,771;0,8766;-0,9867;-32,5792;2,2108;1,054;3,8877;0,8604
"adj_num";-0,1354;0,5299;-1,3597;0,271;-0,8894;3,9959;-2,8588;0,6602;2,0356;0,9895;-1,595;-0,3391;0,3176;-0,3495;0,3761
"pro_rel";-0,2512;-4,2876;-13,6702;-1,4457;-1,2404;-0,3512;15,7796;-0,8956;1,1482;1,3313;-12,5686;0,8014;0,4158;3,8371;-0,6395
"con";-0,3042;-2,1894;-5,0302;-0,6601;1,6836;0,7648;4,4932;0,2997;1,4855;0,9559;-2,3581;0,297;-1,3344;-1,4655;-0,3603
