"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_Gulli";"*chaine_M6";"*chaine_NRJ12";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1"
"pre";27;233;362;294;1589;684;958;351;100;187;337;46;86;833;729
"ver_sup";4;6;21;17;110;50;66;20;11;23;0;8;7;95;35
"adj_dem";0;4;3;4;40;15;2;9;2;1;0;2;6;28;14
"ono";0;0;0;3;17;13;1;7;3;4;0;0;0;8;12
"pro_per";11;35;56;52;417;174;220;44;35;57;96;20;29;220;210
"num";0;73;283;94;111;46;4;58;0;6;44;0;2;33;152
"adv";0;11;4;4;50;54;4;11;13;5;25;2;8;16;21
"ver";15;75;91;151;987;470;497;153;113;175;194;42;64;502;480
"adj_ind";0;2;8;2;30;23;2;2;2;1;0;4;6;33;18
"adj_pos";1;14;8;22;174;77;86;25;11;42;7;5;4;44;85
"aux";4;35;71;55;292;149;301;66;16;53;99;15;54;328;144
"nr";4;240;821;331;972;375;369;188;79;106;113;4;20;170;426
"pro_ind";1;4;8;7;90;36;56;11;7;8;4;5;6;51;31
"adj";8;114;219;106;531;251;576;137;37;79;103;9;59;527;265
"pro_dem";1;9;6;10;75;34;5;22;6;9;0;0;5;34;25
"nom";25;404;868;512;2389;1063;1356;510;148;292;291;71;167;1239;1055
"art_ind";7;38;98;83;436;213;335;75;34;75;179;22;58;404;218
"adj_int";1;1;0;0;4;0;0;1;0;0;0;0;1;1;1
"pro_pos";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"nom_sup";1;12;27;14;43;26;0;11;2;10;1;3;2;22;23
"adv_sup";8;15;56;18;198;118;199;60;10;44;10;12;8;154;108
"adj_sup";0;2;0;2;19;6;1;4;1;2;0;0;0;1;3
"art_def";12;203;295;241;1043;481;478;265;88;126;38;49;82;652;504
"adj_num";0;5;3;5;18;24;4;7;6;6;0;0;2;12;12
"pro_rel";2;10;13;27;163;81;192;31;20;34;0;9;14;138;79
"con";4;37;75;66;384;171;260;74;37;57;36;12;16;173;163
