"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"pre";-0,331581014610555;0,280991049494304;-0,631404104862369;-0,471266044295122;-0,368499612473726;0,312276904541266;-0,701705338073649;-0,523737328262732;0,861855840273221;0,0555262746089282;0,0601450291626959;0,0224728559551562;0,0162503534190186;0,0116699359157999;0,0589248248594313;0,0328258360834388;0,147803084822905;0,0547147940670519;0,000442479379413561
"ver_sup";-0,602420597230699;0,77519070826646;3,58271315768064;-0,839493151402013;-0,15817932780895;0,203544078208826;0,94072341088494;-0,22042815766828;0,539282525941851;0,0801109879720838;0,367088198167772;0,0135182879182937;0,00355054207519108;0,00587911771329968;0,125579606049436;0,00689492194346166;0,00978351778733005;0,125667815421792;0,000154505224669665
"adj_dem";2,17274725515619;-3,26661724411138;1,18947074044568;0,0048160257644964;0,5299938055293;-0,796819280432029;0,290145171187543;0,00117476334000437;0,82743564058566;0,167791729854306;0,00477257708363117;5,24764031883479e-08;0,0127632205519156;0,0288495042598971;0,00382515802015672;6,27074957469268e-08;0,00270359636667769;0,365910208070775;0,000361985275542865
"ono";0,652342064375627;0,803472963514351;2,42089186570988;14,1451938550169;0,0453388987133213;0,055842756892484;0,168256160516612;0,983115372280547;0,13386099845481;0,0182181416699409;0,0354800069535296;0,812440852921719;0,000604227769895384;0,000916626585225391;0,00832148234996207;0,284097702357546;0,00141987435084512;0,273137154665536;0,000105928171549828
"pro_per";-1,1885521817801;-0,108468390546242;0,795473095654501;1,09346439882272;-0,658999875764627;-0,0601409487863675;0,44105482219998;0,606277884996167;0,980110164229565;0,000732323592016456;0,00844926630012461;0,0107082458782946;0,0498975710518089;0,000415574882107808;0,0223508420394227;0,0422330254011791;0,0353218057689689;0,183913341195096;0,00119472889343729
"num";3,35530944918921;-3,25656420255505;0,40831981790415;0,312254529619014;0,713289800416589;-0,69229800269111;0,0868028316998803;0,0663807539912432;0,921737448139202;0,0778967984939678;0,000262707584726924;0,000103045782102571;0,343788912429053;0,323851561597649;0,00509128752841591;0,00297744810242778;0,0305370237099566;0,535379072637287;0,00875285005205299
"adv";-0,570029369164007;-2,59202577250784;-2,13831312170895;-1,38025418062258;-0,155021727995006;-0,704911599293657;-0,581522660153223;-0,375365550842136;0,312354165815117;0,579414976196396;0,084591175773371;0,0236396822151175;0,00156737602287281;0,0324083832129135;0,022055724925704;0,00918960569457672;0,00482368272615875;0,15624495675368;0,000117758089485498
"ver";-0,985931675467401;-0,0337065961008893;1,33206606487235;-0,15476504956845;-0,592223300136877;-0,0202466682793066;0,800137150036349;-0,0929633063648388;0,965666981699483;0,000101256237112723;0,0339246123046698;0,00030714975873361;0,0828690125195589;9,6856399015138e-05;0,151269041005033;0,00204194625385047;0,0852508120514267;0,153697058476221;0,00201386167102361
"adj_ind";2,18709351162809;-2,4285125930087;1,8611393648216;-0,506527895048757;0,576320496784268;-0,639936782130433;0,490428396232717;-0,133475046474936;0,888698226836678;0,0983011449137061;0,0123853139649791;0,000615314284635544;0,0132114383533738;0,0162890635606765;0,00956694303796658;0,00070863424039987;0,00276194736739735;0,355404254743666;0,000348867604869701
"adj_pos";-0,995413013786341;1,16172217040014;2,03533268083975;3,96368488293392;-0,211294046654166;0,246596111435201;0,432035418932559;0,841362336013036;0,71056432216632;0,0868279547275052;0,0571738189529888;0,145433904153186;0,0125077265894204;0,0170363402714933;0,052292880204999;0,19832158803081;0,0126232664890203;0,180898115596296;0,000413085391221342
"aux";-0,780909661286073;-1,62924987788318;-0,461951429506119;-0,641765309443394;-0,395960485355851;-0,82611165464408;-0,234232615251336;-0,325407298705021;0,711256406089864;0,277752668804599;0,00479012504938234;0,00620080005615458;0,0219669432461547;0,095618831128441;0,00768706701045507;0,0148361259481846;0,0360220177776049;0,141846991056219;0,000724783489592011
"nr";1,30667629948585;1,16064825012779;0,554085763280332;-0,524800722185794;0,685173086211402;0,608601337499452;0,290542234983498;-0,275186234423552;0,929087509766413;0,0657627677238953;0,00321517190299958;0,00193455060669153;0,17441659311853;0,137610956401606;0,0313621447043231;0,0281345918567552;0,102153151926556;0,207669219389616;0,00440550838483067
"pro_ind";-0,562201723567684;-1,20524511111836;-0,133698293001156;-2,19298778312935;-0,218907097355654;-0,469291889044251;-0,052058725570174;-0,853893842756001;0,621192488996757;0,256124341390108;0,000676119087223078;0,122007050525911;0,00209635958399673;0,00963456674878478;0,000118558626048572;0,0318972951817928;0,00663256374846829;0,109272656713645;7,91962170130711e-05
"adj";-0,469042038719309;-1,07330328121057;-1,31837753287358;0,690895500060633;-0,247639358891344;-0,566670179885561;-0,696061632149228;0,364770968425535;0,606126377251763;0,284736280406426;0,0921613555919865;0,0169759867498245;0,0143434822915636;0,0751062326055497;0,113321065837645;0,0311211611148448;0,0651975181374361;0,0922916911857704;0,000555336568377415
"pro_dem";1,7237021936282;-0,129377484076513;3,59766066311022;-2,06141086820912;0,383704287429119;-0,0288000418636461;0,800856334843327;-0,458879840849953;0,906777663417674;0,000458302255909817;0,0760232376748528;0,0167407966515628;0,015834417270638;8,92061958601006e-05;0,0689791775552495;0,0226467945133403;0,00532939139906249;0,277296414965813;0,000409794501007381
"nom";0,272915014031055;0,524238313989558;-0,348022695718809;0,243105240736074;0,375044509713413;0,720417314310262;-0,478258778647292;0,334079406163588;0,728563675203474;0,241172853038415;0,0228011846678281;0,0074622870902831;0,0169470272485171;0,0625311171042204;0,0275583876103427;0,0134470590928751;0,227530002139537;0,0489808253110384;0,000545872062724681
"art_ind";-1,17828543457945;-0,808193524221757;0,987545757720642;-1,54290326780473;-0,507178698315821;-0,347877116675355;0,425077113939572;-0,66412402973625;0,927764587957408;0,0391584734657943;0,0125424058608886;0,0205345327159093;0,0650526319395693;0,0306051552171417;0,045696012997359;0,111542725372382;0,0468558535778889;0,18739760690507;0,00164547745015184
"adj_int";2,63625245414676;-4,15786058259187;0,576194354335437;0,69345858795039;0,526718601114157;-0,830733227481925;0,115122618020915;0,138551805537928;0,816342167937255;0,182178167500052;0,000750526195278093;0,000729138367415033;0,00135176453464976;0,00336253566690744;6,45750946196548e-05;9,35337002707777e-05;0,000194503335732208;0,44697507831658;3,88591835987227e-05
"pro_pos";4,11520416964053;-4,2078204366093;0,848270630480654;1,17174385390037;0,678987808223609;-0,694269022356047;0,13996035006468;0,193331790687021;0,912690665760766;0,0856078281666285;0,000746344467319697;0,000955161605285228;0,00065877911648131;0,000688765597290447;2,79914831865889e-05;5,3409980322226e-05;3,89006671464416e-05;0,659875508686518;1,693873872228e-05
"nom_sup";1,80683308564931;0,600816700761495;-2,89177654001955;-2,78746423907385;0,406487354033634;0,135167101428183;-0,650569553737533;-0,627102177840251;0,917482182039453;0,00910130794751723;0,0452293817338515;0,0281871282791775;0,0146046434532378;0,00161487489195736;0,0374097107386013;0,0347594982464859;0,00447357672184078;0,288969257765591;0,00037355811457661
"adv_sup";-0,979629601471883;-1,39546576768119;1,05036185993391;0,140302986943149;-0,487991663939323;-0,69513585636648;0,523226157108181;0,0698903830092252;0,830266665802831;0,151143830318595;0,0183696681436889;0,000219835734884699;0,0205139147206325;0,0416258505618871;0,0235831945314883;0,000420783382248485;0,0213759165969696;0,1646969384382;0,000579823480490867
"adj_sup";1,05681158174211;1,18707797490626;4,50727552459988;-3,07323254643176;0,18598951143379;0,20891524695696;0,793240713104124;-0,54086180517725;0,635958137144136;0,0719863480206912;0,222633869698391;0,069421645136782;0,000999263475930135;0,00126079181240829;0,0181766187951341;0,00845037016094336;0,000894715344368156;0,203009203462325;3,68736679003122e-05
"art_def";0,649155126322048;0,323689055414882;-0,135527281438061;0,622207760101812;0,672532760205161;0,335345875060339;-0,140407944068861;0,644614954661462;0,966180279254308;0,0215513988503995;0,000810483656352415;0,0114578382389398;0,0416787795359838;0,0103627266327096;0,00181665084338876;0,0382903078185809;0,0989049462198277;0,101170019555048;0,00101232900193859
"adj_num";-0,35418100998991;4,60385718856493;-0,343827213803602;-5,91256321238665;-0,0471623124450061;0,613044022844342;-0,0457836135397642;-0,787309724994495;0,0505721560781748;0,766589487572902;0,000917214776304177;0,181921141572618;0,000273272305405189;0,0461730712742401;0,000257528662607087;0,0761546927612163;0,00217843736020073;0,241269244661165;0,000126808686965735
"pro_rel";-1,53048524691268;-1,49808698995132;0,586427943440252;0,652826378621187;-0,661270699741437;-0,647272513156849;0,253375599202226;0,28206410814565;0,916481334560611;0,0787766740920813;0,00258954977420633;0,00215244157310069;0,0392728677271697;0,0376277616671996;0,00576585388354307;0,00714545204321066;0,0167661875401163;0,244906190379654;0,00100561986809502
"con";-1,00852489268133;0,517241311512774;-2,21374421771334;0,230014344963665;-0,403790309831463;0,207091595803941;-0,886332573489119;0,0920924850666093;0,895257302044013;0,0211260976774521;0,0830154886564147;0,000601111622119955;0,0329788796494311;0,00867459209571902;0,158897671605481;0,00171542801136034;0,032423706066559;0,163284557408654;0,000864475880207913
