"";"banalfreq";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"devenir";25;0,7424;-0,6079;-0,0274;-0,0208;-0,1882
"évolution";12;-0,3891;0,4607;-0,0131;-0,01;-0,0903
"chine";11;1,2016;-1,8821;-0,0121;-0,0091;0,7606
"substance";10;1,0515;-0,9452;-0,011;-0,0083;-0,0752
"sortir";18;0,4382;-0,5972;-0,0197;-0,0149;0,5719
"ahmed";10;1,8523;-1,7109;-0,011;-0,0083;-0,0752
"affaire";29;1,4893;-1,7045;-0,0318;-0,0241;0,4032
"guerre";12;-1,0907;1,2304;-0,0131;-0,01;-0,0903
"penser";25;0,4994;-0,3956;-0,0274;-0,0208;-0,1882
"suivre";10;0,5721;-0,498;-0,011;-0,0083;-0,0752
"possible";19;1,7454;-1,5517;-0,0208;-0,0158;-0,143
"poser";11;-0,8425;0,5694;-0,0121;-0,0091;0,7606
"fou";10;0,2826;-0,2361;-0,011;-0,0083;-0,0752
"expérience";19;1,7454;-1,5517;-0,0208;-0,0158;-0,143
"corps";17;-0,4302;0,5216;-0,0186;-0,0141;-0,128
"internet";12;0,4504;-0,3812;-0,0131;-0,01;-0,0903
"affirmer";24;1,35;-1,1608;-0,0263;-0,0199;-0,1807
"extra_terrestre";11;0,3629;-0,3053;-0,0121;-0,0091;-0,0828
"visiteur";27;0,6431;-0,516;-0,0296;-0,0224;-0,2033
"désert";21;0,6808;-0,5636;-0,023;-0,0174;-0,1581
"venir";55;-0,9725;1,2552;-0,0604;-0,0457;-0,4146
"tomber";18;-1,7029;1,4337;-0,0197;-0,0149;0,5719
"laisser";22;0,5058;-0,6408;-0,0241;-0,0183;0,4988
"répondre";12;0,8066;-1,2209;-0,0131;-0,01;0,7264
"chaîne";10;1,8523;-1,7109;-0,011;-0,0083;-0,0752
"spatial";19;-0,4888;0,5941;-0,0208;-0,0158;-0,143
"terre";85;1,0803;-1,1328;-0,0934;0,8231;-0,2444
"gagner";11;0,6868;-0,6;-0,0121;-0,0091;-0,0828
"espace";41;-0,8484;1,0713;-0,045;-0,0341;-0,3089
"mort";15;0,7482;-0,6422;-0,0164;-0,0124;-0,1129
"créature";27;1,7099;-1,4805;-0,0296;-0,0224;-0,2033
"boucherie";10;1,8523;-1,7109;-0,011;-0,0083;-0,0752
"astrophysicien";10;1,8523;-1,7109;-0,011;-0,0083;-0,0752
"comprendre";35;0,2544;0,3223;-0,0384;-0,0291;-0,2636
"leçon";11;0,6868;-1,0817;-0,0121;-0,0091;0,7606
"plan";14;0,3648;-0,3003;-0,0153;-0,0116;-0,1054
"secte";10;1,8523;-1,7109;-0,011;-0,0083;-0,0752
"recherche";39;1,0757;-0,8664;-0,0428;-0,0324;-0,2938
"garçon";11;-0,4894;0,5694;-0,0121;-0,0091;-0,0828
"nucléaire";10;1,8523;-1,7109;-0,011;-0,0083;-0,0752
"mystère";11;0,6868;-0,6;-0,0121;-0,0091;-0,0828
"victime";11;-0,8425;0,5694;-0,0121;-0,0091;0,7606
"technologie";16;1,3256;-1,1728;-0,0175;-0,0133;-0,1204
"frère";17;-0,2438;-0,2963;1,3769;-0,0141;-0,128
"meilleur";11;0,6868;-0,6;-0,0121;-0,0091;-0,0828
"tirailleur";10;1,8523;-1,7109;-0,011;-0,0083;-0,0752
"découverte";25;1,9831;-1,7441;-0,0274;-0,0208;-0,1882
"continuer";16;1,3256;-1,1728;-0,0175;-0,0133;-0,1204
"animal";21;1,456;-1,2713;-0,023;-0,0174;-0,1581
"temps";25;-0,2832;-0,2434;-0,0274;-0,0208;0,4538
"façon";10;1,0515;-1,7109;-0,011;-0,0083;0,7984
"face";11;-0,8425;0,5694;-0,0121;1,682;-0,0828
"rouge";10;1,0515;-1,7109;-0,011;-0,0083;0,7984
"montrer";24;0,9603;-1,1608;-0,0263;-0,0199;0,4681
"lune";16;-0,3009;0,3704;-0,0175;-0,0133;-0,1204
"seul";18;0,2522;0,2519;-0,0197;-0,0149;-0,1355
"mauvais";12;0,4504;-0,3812;-0,0131;-0,01;-0,0903
"appeler";10;1,0515;-0,9452;-0,011;-0,0083;-0,0752
"soucoupe";15;-1,9346;1,5799;-0,0164;-0,0124;0,6403
"nombre";10;0,5721;-0,9452;-0,011;-0,0083;0,7984
