"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"devenir";2,22;1,41;0;0;0
"commenter";1,99;0;0;0;0
"accidentellement";0;6,1;0;0;0
"évolution";0,82;1,17;0;0;0
"chine";1,17;0;0;0;4,44
"substance";1,05;0,23;0;0;0
"karim";1,64;0;0;0;0
"vigi";1,64;0;0;0;0
"rythmé";0,12;6,1;0;0;0
"unir";3,04;0,94;0;0;0
"sortir";1,52;0,94;0;0;4,44
"commentaire";2,22;0;0;0;0
"zorbb";0;2,58;0;0;0
"consacrer";2,57;0;0;0;4,44
"sentir";2,1;0;0;0;0
"député";3,62;0;0;0;0
"perquisition";2,34;0;0;0;0
"ahmed";1,17;0;0;0;0
"affaire";2,81;0,94;0;0;4,44
"vigier";1,64;0;0;0;0
"rick";0;2,58;0;0;0
"guerre";0,58;1,64;0;0;0
"parler";5,49;0,47;30,3;0;8,89
"fry";0;10,79;0;0;0
"penser";2,1;1,64;0;0;0
"suivre";0,94;0,47;0;0;0
"évoquer";3,86;0;30,3;0;22,22
"tête";1,05;11,49;0;0;0
"possible";1,99;0,47;0;0;0
"poser";0,58;1,17;0;0;4,44
"hassaine";1,29;0;0;0;0
"théorie";1,52;0;30,3;0;0
"fou";0,82;0,7;0;0;0
"expérience";1,99;0,47;0;0;0
"corps";1,17;1,64;0;0;0
"solère";1,64;0;0;0;0
"reportage";4,91;0,23;30,3;0;13,33
"explorer";1,52;0;0;0;0
"convaincre";0,23;1,88;0;0;4,44
"internet";1,05;0,7;0;0;0
"city";0;12,9;0;0;0
"sophie";2,69;0;60,61;0;0
"affirmer";2,34;0,94;0;0;0
"semaine";2,34;0,47;0;0;0
"comédien";1,4;0;0;0;0
"différent";1,29;0;30,3;0;0
"extra_terrestre";0,94;0,7;0;0;0
"monde";8,18;14,3;0;0;0
"visiteur";2,34;1,64;0;0;0
"naulleau";1,4;0;0;0;0
"lilia";1,29;0;0;0;0
"fille";2,81;25,56;30,3;0;0
"désert";1,87;1,17;0;0;0
"humoriste";1,52;0;0;0;0
"apparition";1,87;0;0;0;0
"venir";3,62;5,63;0;0;0
"tomber";0,82;2,34;0;0;4,44
"laisser";1,87;1,17;0;0;4,44
"époque";1,75;0;0;0;0
"intervenir";0,47;6,1;0;0;0
"origine";3,86;0,23;30,3;0;0
"image";4,44;0,47;60,61;0;4,44
"mythe";1,29;0;0;0;0
"italie";1,64;0;0;0;0
"édition";3,39;0;0;0;0
"répondre";1,17;0,23;0;0;4,44
"présenter";6,08;0,7;0;40;35,56
"chaîne";1,17;0;0;0;0
"spatial";1,29;1,88;0;0;0
"écrivain";2,69;0;0;0;0
"terre";7,25;4,92;0;40;4,44
"richard";1,52;0;0;0;0
"gagner";1,05;0,47;0;0;0
"christophe";5,96;0;0;0;4,44
"espace";2,69;4,22;0;0;0
"vie";10,4;1,17;0;0;4,44
"mort";1,4;0,7;0;0;0
"teen";0;11,49;0;0;0
"damien";1,4;0;0;0;0
"science";1,29;0;0;0;4,44
"information";2,22;0,47;0;0;0
"débat";4,09;0;0;0;4,44
"créature";2,69;0,94;0;0;0
"visuel";3,39;0;0;0;0
"boucherie";1,17;0;0;0;0
"astrophysicien";1,17;0;0;0;0
"recette";1,52;0;0;0;0
"comprendre";2,69;2,81;0;0;0
"jeu";1,17;1,17;0;240;4,44
"dernier";3,39;1,17;0;0;8,89
"leçon";1,05;0,23;0;0;4,44
"grandir";0,58;6,1;0;0;0
"plan";1,17;0,94;0;0;0
"secte";1,17;0;0;0;0
"notamment";1,29;0;0;0;0
"depétrini";1,64;0;0;0;0
"incident";0,35;18,52;0;0;0
"recherche";3,51;2,11;0;0;0
"garçon";0,7;1,17;0;0;0
"environnement";0,23;6,33;0;0;0
"nucléaire";1,17;0;0;0;0
"robin";0,12;11,49;0;0;0
"belhousse";1,75;0;0;0;0
"témoin";3,27;0,7;0;0;0
"mystère";1,05;0,47;0;0;0
"kelly";1,4;0;0;0;0
"retrouver";1,17;5,63;0;40;0
"victime";0,58;1,17;0;0;4,44
