"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"pre";142,64;159,91;186,53;139,13;155,2
"ver_sup";9,16;11,18;0;8,7;13,34
"adj_dem";3,35;1,3;0;0;0,7
"ono";1,51;1,15;0;8,7;1,4
"pro_per";31,33;45,8;20,73;52,17;34,41
"num";41,32;5,63;10,36;0;7,02
"adv";4,66;5,63;5,18;0;1,4
"ver";77,2;106,25;41,45;86,96;89,19
"adj_ind";3,41;1,3;0;0;1,4
"adj_pos";11,31;15,58;5,18;34,78;16,15
"aux";33,81;43,57;25,91;17,39;21,07
"nr";114;67,8;124,35;95,65;136,24
"pro_ind";6,34;7,65;5,18;0;4,92
"adj";62,85;73,43;72,54;69,57;42,84
"pro_dem";6,23;3,03;0;0;6,32
"nom";232,46;211,05;284,97;269,57;252,81
"art_ind";41,85;61,02;20,73;17,39;40,73
"adj_int";0,25;0,07;0;0;0
"pro_pos";0,06;0;0;0;0
"nom_sup";5,22;2,45;10,36;0;4,92
"adv_sup";19,63;26,83;5,18;17,39;14,75
"adj_sup";0,98;0,65;0;0;1,4
"art_def";104,84;82,52;113,99;121,74;105,34
"adj_num";2,01;2,31;5,18;0;4,92
"pro_rel";14,52;23,37;5,18;17,39;10,53
"con";29,09;40,54;56,99;43,48;33,01
