"";"*mediamatgroupe_Cultureconnaissance";"*mediamatgroupe_Fiction";"*mediamatgroupe_Information";"*mediamatgroupe_Jeunesse";"*mediamatgroupe_Variétésdivertissement"
"devenir";19;6;0;0;0
"commenter";17;0;0;0;0
"accidentellement";0;26;0;0;0
"évolution";7;5;0;0;0
"chine";10;0;0;0;1
"substance";9;1;0;0;0
"karim";14;0;0;0;0
"vigi";14;0;0;0;0
"rythmé";1;26;0;0;0
"unir";26;4;0;0;0
"sortir";13;4;0;0;1
"commentaire";19;0;0;0;0
"zorbb";0;11;0;0;0
"consacrer";22;0;0;0;1
"sentir";18;0;0;0;0
"député";31;0;0;0;0
"perquisition";20;0;0;0;0
"ahmed";10;0;0;0;0
"affaire";24;4;0;0;1
"vigier";14;0;0;0;0
"rick";0;11;0;0;0
"guerre";5;7;0;0;0
"parler";47;2;1;0;2
"fry";0;46;0;0;0
"penser";18;7;0;0;0
"suivre";8;2;0;0;0
"évoquer";33;0;1;0;5
"tête";9;49;0;0;0
"possible";17;2;0;0;0
"poser";5;5;0;0;1
"hassaine";11;0;0;0;0
"théorie";13;0;1;0;0
"fou";7;3;0;0;0
"expérience";17;2;0;0;0
"corps";10;7;0;0;0
"solère";14;0;0;0;0
"reportage";42;1;1;0;3
"explorer";13;0;0;0;0
"convaincre";2;8;0;0;1
"internet";9;3;0;0;0
"city";0;55;0;0;0
"sophie";23;0;2;0;0
"affirmer";20;4;0;0;0
"semaine";20;2;0;0;0
"comédien";12;0;0;0;0
"différent";11;0;1;0;0
"extra_terrestre";8;3;0;0;0
"monde";70;61;0;0;0
"visiteur";20;7;0;0;0
"naulleau";12;0;0;0;0
"lilia";11;0;0;0;0
"fille";24;109;1;0;0
"désert";16;5;0;0;0
"humoriste";13;0;0;0;0
"apparition";16;0;0;0;0
"venir";31;24;0;0;0
"tomber";7;10;0;0;1
"laisser";16;5;0;0;1
"époque";15;0;0;0;0
"intervenir";4;26;0;0;0
"origine";33;1;1;0;0
"image";38;2;2;0;1
"mythe";11;0;0;0;0
"italie";14;0;0;0;0
"édition";29;0;0;0;0
"répondre";10;1;0;0;1
"présenter";52;3;0;1;8
"chaîne";10;0;0;0;0
"spatial";11;8;0;0;0
"écrivain";23;0;0;0;0
"terre";62;21;0;1;1
"richard";13;0;0;0;0
"gagner";9;2;0;0;0
"christophe";51;0;0;0;1
"espace";23;18;0;0;0
"vie";89;5;0;0;1
"mort";12;3;0;0;0
"teen";0;49;0;0;0
"damien";12;0;0;0;0
"science";11;0;0;0;1
"information";19;2;0;0;0
"débat";35;0;0;0;1
"créature";23;4;0;0;0
"visuel";29;0;0;0;0
"boucherie";10;0;0;0;0
"astrophysicien";10;0;0;0;0
"recette";13;0;0;0;0
"comprendre";23;12;0;0;0
"jeu";10;5;0;6;1
"dernier";29;5;0;0;2
"leçon";9;1;0;0;1
"grandir";5;26;0;0;0
"plan";10;4;0;0;0
"secte";10;0;0;0;0
"notamment";11;0;0;0;0
"depétrini";14;0;0;0;0
"incident";3;79;0;0;0
"recherche";30;9;0;0;0
"garçon";6;5;0;0;0
"environnement";2;27;0;0;0
"nucléaire";10;0;0;0;0
"robin";1;49;0;0;0
"belhousse";15;0;0;0;0
"témoin";28;3;0;0;0
"mystère";9;2;0;0;0
"kelly";12;0;0;0;0
"retrouver";10;24;0;1;0
"victime";5;5;0;0;1
"technologie";14;2;0;0;0
"alexandre";16;0;0;0;0
"frère";11;5;1;0;0
"millénaire";2;43;0;0;0
"meilleur";9;2;0;0;0
"observation";11;0;0;0;0
"tirailleur";10;0;0;0;0
"décontraction";0;26;0;0;0
"astronaute";39;1;0;0;0
"découverte";22;3;0;0;0
"millier";15;0;0;0;0
"continuer";14;2;0;0;0
"ambre";48;0;0;0;0
"laëtitia";15;0;0;0;0
"animal";18;3;0;0;0
"pyramide";12;0;0;0;0
"robot";4;29;0;0;1
"temps";16;8;0;0;1
"david";27;0;0;3;0
"façon";9;0;0;0;1
"face";5;5;0;1;0
"rouge";9;0;0;0;1
"montrer";19;4;0;0;1
"tenter";5;53;0;0;1
"quitter";12;27;0;0;0
"inviter";30;1;0;0;3
"ados";1;26;0;0;0
"site";26;3;0;0;0
"politique";31;0;0;0;1
"alliance";16;0;0;0;0
"lune";10;6;0;0;0
"seul";12;6;0;0;0
"tamaran";0;26;0;0;0
"mauvais";9;3;0;0;0
"chef";12;0;0;0;0
"appeler";9;1;0;0;0
"françois";19;2;0;0;2
"soucoupe";5;9;0;0;1
"nombre";8;1;0;0;1
"pizza";0;43;0;0;0
"alexis";13;0;0;0;0
"enlever";2;8;0;0;0
"prendre";22;56;0;0;2
"livreur";0;43;0;0;0
"état";19;0;0;0;0
"grave";1;49;0;0;0
"déage";10;0;0;0;0
"yacine";15;0;0;0;0
"thierry";30;0;0;0;1
"carbonnier";40;0;0;0;0
"jerry";1;9;0;0;0
"raid";15;0;0;0;0
"déclaration";22;0;0;0;0
"contact";20;0;0;0;0
"the";8;0;0;0;3
"photo";22;1;0;0;1
"transformer";7;4;0;0;0
"lci";21;0;0;0;0
"bord";4;8;0;0;0
"jacques";15;2;0;0;1
"connaître";24;2;0;0;1
"peupler";1;25;0;0;0
"commencer";12;2;0;0;1
"archive";11;0;1;0;0
"sujet";29;1;0;0;1
"zone";11;0;0;0;0
"donner";26;9;1;0;2
"urgentiste";12;0;0;0;0
"gilet";21;0;0;0;0
"ciel";26;2;0;0;0
"cas";31;1;0;0;0
"discussion";15;0;0;0;0
"cours";17;2;0;0;0
"découvrir";24;20;0;0;2
"forme";27;4;0;0;0
"nom";9;1;0;0;0
"ex";18;3;0;0;0
"album";9;0;0;0;8
"marine";9;2;0;0;0
"toulouse";12;0;0;0;0
"message";10;0;0;0;0
"incroyable";18;0;0;0;0
"premier";42;5;0;0;6
"déguiser";9;5;0;0;1
"ligne";12;0;0;0;0
"étrange";38;9;0;0;0
"secrétaire";29;0;0;0;0
"bruno";19;0;0;0;1
"sport";10;0;0;0;0
"près_de";6;7;0;0;1
"tropical";0;77;0;0;0
"maïa";37;0;0;0;0
"prétexte";0;77;0;0;0
"explication";12;0;0;0;0
"ami";5;16;0;0;1
"héros";7;4;0;1;0
"vilain";8;1;0;1;0
"vendre";4;6;0;0;0
"loi";10;0;0;0;0
"giorgio";19;0;0;0;0
"aile";0;26;0;0;0
"iran";19;0;0;0;0
"aimer";10;1;0;0;0
"vidéo";18;1;0;0;0
"réalité";13;8;0;0;0
"visage";11;0;0;0;1
"posséder";12;23;0;0;0
"diffuser";10;0;0;0;0
"base";8;3;0;0;0
"véritable";7;5;0;0;0
"jour";21;3;0;0;1
"justice";10;1;0;0;0
"voler";2;31;0;0;0
"culture";24;1;0;0;1
"portrait";11;1;0;0;1
"effet";6;5;0;0;0
"planète";19;42;0;0;0
"grand";43;11;1;0;0
"pierre";22;0;0;0;2
"jouer";9;3;0;0;1
"hapsatou";11;0;0;0;0
"univers";14;26;1;2;0
"info";14;0;2;0;0
"cryogénisé";0;43;0;0;0
"rester";16;5;0;0;0
"visite";18;3;0;0;0
"structure";11;0;0;0;0
"utiliser";15;3;0;0;1
"rencontre";22;2;0;0;1
"suite";18;0;0;0;0
"scientologie";16;0;0;0;0
"brigitte";14;0;0;0;0
"élection";13;0;0;0;0
"jump";0;27;0;0;0
"gens";18;0;0;0;1
