"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"devenir";0,7424;-0,6079;-0,0274;-0,0208;-0,1882
"commenter";3,15;-2,9095;-0,0186;-0,0141;-0,128
"accidentellement";-11,9686;12,6961;-0,0285;-0,0216;-0,1958
"évolution";-0,3891;0,4607;-0,0131;-0,01;-0,0903
"chine";1,2016;-1,8821;-0,0121;-0,0091;0,7606
"substance";1,0515;-0,9452;-0,011;-0,0083;-0,0752
"karim";2,5937;-2,3957;-0,0153;-0,0116;-0,1054
"vigi";2,5937;-2,3957;-0,0153;-0,0116;-0,1054
"rythmé";-10,7131;11,4273;-0,0296;-0,0224;-0,2033
"unir";2,0893;-1,8193;-0,0329;-0,0249;-0,2259
"sortir";0,4382;-0,5972;-0,0197;-0,0149;0,5719
"commentaire";3,5209;-3,2521;-0,0208;-0,0158;-0,143
"zorbb";-5,0585;5,3658;-0,0121;-0,0091;-0,0828
"consacrer";3,1404;-3,9374;-0,0252;-0,0191;0,483
"sentir";3,3354;-3,0808;-0,0197;-0,0149;-0,1355
"député";5,7479;-5,309;-0,034;-0,0257;-0,2335
"perquisition";3,7064;-3,4234;-0,0219;-0,0166;-0,1506
"ahmed";1,8523;-1,7109;-0,011;-0,0083;-0,0752
"affaire";1,4893;-1,7045;-0,0318;-0,0241;0,4032
"vigier";2,5937;-2,3957;-0,0153;-0,0116;-0,1054
"rick";-5,0585;5,3658;-0,0121;-0,0091;-0,0828
"guerre";-1,0907;1,2304;-0,0131;-0,01;-0,0903
"parler";4,5076;-6,3846;0,9097;-0,0432;0,6488
"fry";-21,2041;22,4942;-0,0505;-0,0382;-0,3466
"penser";0,4994;-0,3956;-0,0274;-0,0208;-0,1882
"suivre";0,5721;-0,498;-0,011;-0,0083;-0,0752
"évoquer";2,1986;-6,6815;1,0278;-0,0324;3,2917
"tête";-14,174;15,4255;-0,0637;-0,0482;-0,4373
"possible";1,7454;-1,5517;-0,0208;-0,0158;-0,143
"poser";-0,8425;0,5694;-0,0121;-0,0091;0,7606
"hassaine";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
"théorie";1,6667;-2,3957;1,4596;-0,0116;-0,1054
