"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"pre";-6,4426;5,7926;1,0901;-0,3371;0,6522
"ver_sup";-1,765;1,528;-0,8256;-0,1614;0,9609
"adj_dem";5,4328;-4,2876;-0,2273;-0,1354;-1,0015
"ono";0,5963;-0,6947;-0,1193;0,8213;-0,1735
"pro_per";-12,7334;13,8267;-0,7332;0,6542;-0,3352
"num";133,6266;-117,1926;-1,1959;-1,5507;-9,2926
"adv";-0,6354;1,1844;0,2165;-0,2418;-1,5117
"ver";-21,9637;23,6952;-1,8637;0,2823;0,511
"adj_ind";5,279;-4,5259;-0,2323;-0,1383;-0,6134
"adj_pos";-4,3814;3,6888;-0,5256;1,234;0,8571
"aux";-4,5131;7,5988;-0,5204;-0,6731;-3,175
"nr";42,7465;-58,6848;0,74;-0,3134;4,6767
"pro_ind";-0,9288;1,3;-0,1983;-0,3327;-0,5687
"adj";-3,2109;5,5161;0,4208;0,321;-3,7987
"pro_dem";5,1626;-5,5107;-0,4487;-0,2672;0,4568
"nom";4,5763;-7,5584;1,4347;0,7779;1,9171
"art_ind";-15,0768;18,8601;-1,3068;-1,0459;-0,8317
"adj_int";0,8412;-0,6934;-0,0163;-0,0097;-0,122
"pro_pos";0,314;-0,273;-0,0033;-0,0019;-0,0244
"nom_sup";4,3848;-5,1413;0,6697;-0,2242;0,343
"adv_sup";-4,6125;6,6559;-1,0959;-0,2571;-1,3693
"adj_sup";0,6614;-0,776;-0,0752;-0,0448;0,4373
"art_def";11,5774;-14,0784;0,5638;0,6097;0,6645
"adj_num";-0,8912;0,4142;0,4634;-0,109;1,4377
"pro_rel";-8,5883;11,3407;-0,7861;0,2391;-1,4776
"con";-9,8817;9,4038;1,2934;0,4984;0,3268
