"";"*mediamatgroupe_Cultureconnaissance";"*mediamatgroupe_Fiction";"*mediamatgroupe_Information";"*mediamatgroupe_Jeunesse";"*mediamatgroupe_Variétésdivertissement"
"pre";5109;2217;36;16;221
"ver_sup";328;155;0;1;19
"adj_dem";120;18;0;0;1
"ono";54;16;0;1;2
"pro_per";1122;635;4;6;49
"num";1480;78;2;0;10
"adv";167;78;1;0;2
"ver";2765;1473;8;10;127
"adj_ind";122;18;0;0;2
"adj_pos";405;216;1;4;23
"aux";1211;604;5;2;30
"nr";4083;940;24;11;194
"pro_ind";227;106;1;0;7
"adj";2251;1018;14;8;61
"pro_dem";223;42;0;0;9
"nom";8326;2926;55;31;360
"art_ind";1499;846;4;2;58
"adj_int";9;1;0;0;0
"pro_pos";2;0;0;0;0
"nom_sup";187;34;2;0;7
"adv_sup";703;372;1;2;21
"adj_sup";35;9;0;0;2
"art_def";3755;1144;22;14;150
"adj_num";72;32;1;0;7
"pro_rel";520;324;1;2;15
"con";1042;562;11;5;47
