Terme	Total	Tendance
vie	138	0.0044840137
jean	99	0.0032167924
source	95	0.003086821
terre	64	0.0020795425
phénomènes	57	0.0018520926
l'espace	56	0.0018195997
avoir	54	0.001754614
3	53	0.0017221211
20	51	0.0016571354
ans	46	0.0014946712
rencontre	45	0.0014621783
recherche	43	0.0013971926
vu	41	0.0013322069
scientifique	39	0.0012672212
pierre	39	0.0012672212
comment	37	0.0012022355
ciel	37	0.0012022355
planète	36	0.0011697427
centre	36	0.0011697427
monde	35	0.0011372498
science	34	0.001104757
nasa	34	0.001104757
mars	34	0.001104757
cnes	34	0.001104757
unis	33	0.0010722642
phénomène	33	0.0010722642
cnrs	33	0.0010722642
etats	32	0.0010397712
peut	31	0.0010072784
paris	31	0.0010072784
l'univers	31	0.0010072784
auteur	31	0.0010072784
plateau	30	0.00097478554
parle	30	0.00097478554
michel	30	0.00097478554
ancien	30	0.00097478554
raconte	29	0.0009422927
images	28	0.0009097998
explique	28	0.0009097998
responsable	27	0.000877307
puis	27	0.000877307
journaliste	27	0.000877307
imedia	27	0.000877307
faire	27	0.000877307
aujourd'hui	27	0.000877307
écrivain	26	0.0008448141
personnes	25	0.00081232126
fois	25	0.00081232126
années	25	0.00081232126
terrestres	24	0.00077982846
planètes	24	0.00077982846
mission	24	0.00077982846
l'armée	24	0.00077982846
identifiés	24	0.00077982846
directeur	24	0.00077982846
astronome	24	0.00077982846
2	24	0.00077982846
régions	23	0.0007473356
dit	23	0.0007473356
découverte	23	0.0007473356
claude	23	0.0007473356
système	22	0.00071484275
spécialiste	22	0.00071484275
s'est	22	0.00071484275
question	22	0.00071484275
pilote	22	0.00071484275
livre	22	0.00071484275
geipan	22	0.00071484275
cas	22	0.00071484275
bactéries	22	0.00071484275
astrophysicien	22	0.00071484275
site	21	0.0006823499
scientologie	21	0.0006823499
pilotes	21	0.0006823499
petit	21	0.0006823499
nathalie	21	0.0006823499
film	21	0.0006823499
fiction	21	0.0006823499
d'années	21	0.0006823499
chercheurs	21	0.0006823499
voyage	20	0.00064985704
seti	20	0.00064985704
professeur	20	0.00064985704
pourrait	20	0.00064985704
grâce	20	0.00064985704
université	19	0.0006173642
n'est	19	0.0006173642
jour	19	0.0006173642
cabrol	19	0.0006173642
vaisseau	18	0.00058487133
internet	18	0.00058487133
vol	17	0.0005523785
titan	17	0.0005523785
témoins	17	0.0005523785
sujet	17	0.0005523785
solaire	17	0.0005523785
l'observatoire	17	0.0005523785
hommes	17	0.0005523785
expérience	17	0.0005523785
enquête	17	0.0005523785
documentaire	17	0.0005523785
docteur	17	0.0005523785
conditions	17	0.0005523785
terrestre	16	0.0005198856
sonde	16	0.0005198856
sciences	16	0.0005198856
partie	16	0.0005198856
l'homme	16	0.0005198856
jacques	16	0.0005198856
itw	16	0.0005198856
grand	16	0.0005198856
françois	16	0.0005198856
face	16	0.0005198856
également	16	0.0005198856
spatiale	15	0.00048739277
siècle	15	0.00048739277
secte	15	0.00048739277
rapport	15	0.00048739277
paul	15	0.00048739277
luc	15	0.00048739277
l'université	15	0.00048739277
l'institut	15	0.00048739277
l'émission	15	0.00048739277
l'existence	15	0.00048739277
ingénieur	15	0.00048739277
groupe	15	0.00048739277
donne	15	0.00048739277
bord	15	0.00048739277
américaine	15	0.00048739277
24	15	0.00048739277
10	15	0.00048739277
témoin	14	0.0004548999
présence	14	0.0004548999
parler	14	0.0004548999
notamment	14	0.0004548999
marie	14	0.0004548999
lumière	14	0.0004548999
grande	14	0.0004548999
français	14	0.0004548999
d'études	14	0.0004548999
créé	14	0.0004548999
commandant	14	0.0004548999
astrobiologiste	14	0.0004548999
amazon	14	0.0004548999
va	13	0.00042240706
trouve	13	0.00042240706
toulouse	13	0.00042240706
sérieux	13	0.00042240706
région	13	0.00042240706
retour	13	0.00042240706
recherches	13	0.00042240706
projet	13	0.00042240706
première	13	0.00042240706
olivier	13	0.00042240706
nouveau	13	0.00042240706
nombreux	13	0.00042240706
national	13	0.00042240706
moment	13	0.00042240706
mathieu	13	0.00042240706
marc	13	0.00042240706
laboratoire	13	0.00042240706
l'apparition	13	0.00042240706
l'affaire	13	0.00042240706
janvier	13	0.00042240706
française	13	0.00042240706
fin	13	0.00042240706
explication	13	0.00042240706
d'ovni	13	0.00042240706
chasse	13	0.00042240706
affirme	13	0.00042240706
voir	12	0.00038991423
travail	12	0.00038991423
temps	12	0.00038991423
spatiales	12	0.00038991423
spatial	12	0.00038991423
seuls	12	0.00038991423
service	12	0.00038991423
reste	12	0.00038991423
public	12	0.00038991423
programme	12	0.00038991423
premier	12	0.00038991423
possible	12	0.00038991423
petits	12	0.00038991423
patrick	12	0.00038991423
part	12	0.00038991423
nord	12	0.00038991423
nationale	12	0.00038991423
lune	12	0.00038991423
là	12	0.00038991423
l'histoire	12	0.00038991423
gendarmerie	12	0.00038991423
femme	12	0.00038991423
famille	12	0.00038991423
éditions	12	0.00038991423
disent	12	0.00038991423
débat	12	0.00038991423
corps	12	0.00038991423
5	12	0.00038991423
000	12	0.00038991423
sol	11	0.00035742138
schirra	11	0.00035742138
richard	11	0.00035742138
reçoit	11	0.00035742138
rappelle	11	0.00035742138
présentation	11	0.00035742138
pr	11	0.00035742138
pouvoir	11	0.00035742138
photos	11	0.00035742138
pense	11	0.00035742138
observé	11	0.00035742138
nuit	11	0.00035742138
nadia	11	0.00035742138
loin	11	0.00035742138
l'air	11	0.00035742138
inexpliqués	11	0.00035742138
évoque	11	0.00035742138
enfants	11	0.00035742138
daam	11	0.00035742138
d'ovnis	11	0.00035742138
cours	11	0.00035742138
contact	11	0.00035742138
andré	11	0.00035742138
américain	11	0.00035742138
ainsi	11	0.00035742138
adeptes	11	0.00035742138
vient	10	0.00032492852
traces	10	0.00032492852
série	10	0.00032492852
questions	10	0.00032492852
pu	10	0.00032492852
présente	10	0.00032492852
portrait	10	0.00032492852
point	10	0.00032492852
philippe	10	0.00032492852
peuvent	10	0.00032492852
participants	10	0.00032492852
observatoire	10	0.00032492852
nombreuses	10	0.00032492852
micro	10	0.00032492852
matin	10	0.00032492852
matière	10	0.00032492852
l'origine	10	0.00032492852
l'eau	10	0.00032492852
homme	10	0.00032492852
général	10	0.00032492852
étranges	10	0.00032492852
explications	10	0.00032492852
europe	10	0.00032492852
données	10	0.00032492852
directrice	10	0.00032492852
d'etudes	10	0.00032492852
chroniqueurs	10	0.00032492852
chercheur	10	0.00032492852
charles	10	0.00032492852
californie	10	0.00032492852
archives	10	0.00032492852
40	10	0.00032492852
village	9	0.00029243567
vécu	9	0.00029243567
usa	9	0.00029243567
trouver	9	0.00029243567
surface	9	0.00029243567
savoir	9	0.00029243567
sagan	9	0.00029243567
rue	9	0.00029243567
rubrique	9	0.00029243567
quotidien	9	0.00029243567
prompteur	9	0.00029243567
place	9	0.00029243567
photo	9	0.00029243567
pernin	9	0.00029243567
of	9	0.00029243567
observations	9	0.00029243567
moyens	9	0.00029243567
mois	9	0.00029243567
laurent	9	0.00029243567
lancement	9	0.00029243567
l'actualité	9	0.00029243567
kilomètres	9	0.00029243567
glace	9	0.00029243567
formes	9	0.00029243567
forme	9	0.00029243567
expériences	9	0.00029243567
européenne	9	0.00029243567
détecter	9	0.00029243567
découvrir	9	0.00029243567
découvert	9	0.00029243567
dessus	9	0.00029243567
dernier	9	0.00029243567
culture	9	0.00029243567
chronique	9	0.00029243567
chili	9	0.00029243567
chef	9	0.00029243567
carl	9	0.00029243567
ailleurs	9	0.00029243567
aérospatiaux	9	0.00029243567
4	9	0.00029243567
27	9	0.00029243567
25	9	0.00029243567
1	9	0.00029243567
