Res	Resprod
"Tina KIEFFER arbitre le débat consacré aux OVNI et aux extraterrestres, en compagnie de Christophe LAMBERT. Celui-ci, venu faire la promotion de ""Highlander 3"", affirme qu'il aime croire à une autre vie dans l'univers. Selon les principes de l'émission, des spécialistes et des témoins convaincus s'opposent à des sceptiques bien campés dans leur position :
     Linda WALKER, québécoise, témoigne de son enlèvement par des extraterrestres, qui lui ont prélevé un morceau de peau. Elle continue à communiquer avec eux par télépathie et rapporte leur message d'amour et de paix.
     Jean Roch LAURENCE, psychanalyste spécialisé dans l'hypnose de personnes enlevées soutient qu'ils sont de bonne foi.
     Géraldine LEVASSEUR lance un reportage sur les ""abductions"" (enlèvement) qui se multiplient aux Etats Unis (avec participation de JR LAURENCE et Bud HOPKINS).
     Jean Luc RIVERA, cadre supérieur, pense que l'ampleur de ces  événements (des dizaines de milliers de personnes touchées) prouve leur véracité.
     Le professeur Jean Paul ESCANDE (dermatologue) décrit médicalement la cicatrice de Linda.
     Alain GILLOT PETRE, qui refuse de croire aux apparitions d'OVNI, multiplie ses interventions moqueuses et méprisantes. Il trouve ridicule d'imaginer que des E.T. voyagent à travers l'univers pour repartir tout de suite.
     Jean HEIDMANN, astronome à l'Observatoire de Meudon, accepte l'hypothèse extraterrestre, précisant que les scientifiques ont peu d'atouts pour s'attaquer au problème. 
     Pour Sylvie VAUCLAIR, astrophysicienne à l'Observatoire de Toulouse, on est obligé de penser qu'il peut y avoir une vie ailleurs ; quant aux ""visiteurs"", c'est autre chose.
     Jean Gabriel GRESLE, ancien pilote de ligne et écrivain, a vu l'écho à Mach 4 ou 5, d'un OVNI dépassant son avion.
     Jean FUMEAU est en contact permanent avec les Frères de l'espace, qui l'ont averti d'un Apocalypse imminent contre lequel ils peuvent nous sauver. Il raconte son dédoublement astral contrôlé dans la chambre d'hôtel de Mireille Mathieu.
     Jeanine, également contactée par les Frères, se sent investie d'une mission pour préparer un plan d'évacuation des terriens.
     Jean Francis CROLARD (Conseil en Relations humaines, auteur de ""L'Enigme des ET"") rappelle que l'absence de preuves n'est pas une preuve d'absence.
     Jean Claude RIBES, astronome au CNRS, pense qu'il n'est pas inutile de faire des études sur les OVNI.
     Jean Pierre PETIT, directeur de recherche au CNRS Marseille, résume les recherches qu'il entreprend depuis 20 ans sur les ""Units"", des messages écrits envoyés par des extraterrestres. La discussion déborde alors sur les blocages de la part des dirigeants du CNRS et de l'armée.
     Des petites altercations ont lieu entre JP PETIT et A GILLOT PETRE qui, vexé d'avoir été traité d'imbécile, répète qu'on le prend pour un imbécile parce qu'il n'a pas de diplômes. JP PETIT se voit lui appelé ""énergumène"" par JC RIBES,...
     Le journaliste Robert ROUSSEL s'est penché sur le dossier de Jean Pierre PETIT"	
"[Source France 3 Régions] :
Depuis quelques semaines, dans le département des Ardennes, les témoignages relatifs à l'observation, dans le ciel, de phénomènes lumineux inexpliqués, tels les OVNIs, se multiplient, comme en atteste un spécialiste de ces phénomènes, Jean-Luc Lemaire, pour lequel, cependant, seul l'origine d'un nombre limité de ces phénomènes, ne parvient, généralement, à pouvoir être déterminée.

///"	"[Source France 3 Régions] :
Autres intervenants : LIGERON JEAN MICHEL (Témoin d'un phénomène aérien non identifié)
Autres descripteurs secondaires : LIGERON JEAN MICHEL
///"
" Rouleau compresseur écrasant des monceaux de coquilles; PM tas de coquilles; un homme explique : ""ce sont des envahisseurs sans ovni, sans soucoupes volantes"".
TRAVEL VUE SOUS MARINE sable jonché de crepidula.
 GP chercheur au microscope, dissèque un coquillage; PR on écrase des crepidula agglutinées les unes aux autres.
ITW Michel BLANCHARD, chercheur IFREMER, BREST : donne les deux particularité de ce coquillage : la superposition, la reproduction.
VG chalutier en mer; sur le pont : PR filet lachant sa charge, essentiellement des crepidula et quelques rares huitres. Gilbert RIO, ostréiculteur explique : dans cette zone, ostréicole, il y a environ 300 000 tonnes de crepidule; PR tri des huitres parmi un monceau de coquillages, PE le pont chargé de coquilles; PR face la proue du bateau fendant l'eau.
Un homme attablé près d'un plateau de coquillages dont des crepidules, ITW près de lui un chef en toque blanche, emet des doutes sur les vertues culinaires de ce coquillage parasite.
Dans un champs un agriculteur porte un cageot de choux, seme de la poudre de crepidule, qui guerirait certaines maladies de legumes.
 ITW Charles BEAULIEU, ostreiculteur : ""aucune solution fiable actuellement, on va vers une catastrophe"".
 ouvrieres triant des huitres sur un tapis roulant.
 Homme assis, dos a la mer, sur un tas de coquilles blanches."	
"- Falkirk, petit ville d'Ecosse, a ces dernières années enregistré 800 témoignages d'habitants ayant vu des OVNI.
- Itw de plusieurs habitants racontant leurs aventures
- Itw de Malcolm ROBINSON, spécialiste des OVNI.
- Itw de Robert TAYLOR, qui a été mystérieusement agressé par des extra-terrestres."	
"<LES VENDANGEURS D'ETOILES> Michel MAURETTE, astrophysicien au CNRS, procède à des carottage dans l'antarctique, pour 600 tonnes de glace prélevées, on obtient environ 100.000 micro météorites, le plus souvent d'1/10 de millimètre. Il estime que les micro météorites ont pu ensemencer la terre il y a 4 milliards d'années, et qu'elles ont pu être responsable de l'afflux de matières organiques, en bref qu'elles ont introduit les éléments indispensables à l'apparition de la vie. Malgré le microscope géant, il est impossible de les analyser en détail, mais elles demeurent cependant le scénario le plus probable. Pour Chantal LEVASSEUR-REGOURD, astrophysicienne également au CNRS, la présence d'une surface sombre sur le noyau de la comète de Halley, pourrait révéler l'existence d'une poussière d'étoiles, qui a pu jouer un rôle actif dans les origines de la vie terrestre en constituant les premières briques des cellules vivantes. C'est en tous cas, dit-elle, une hypothèse plausible. 
<ETRE OU NE PAS ETRE> A partir de quel stade d'organisation, sur quels critères peut-on dire que la matière est vivante ? Trois niveaux de réponses possibles : la vie, c'est une aptitude à capter de l'énergie, ou de la mettre au service d'un métabolisme, ou les deux précédentes sous le contrôle d'un programme génétique. André ADOUTTE, évoque l'ambiguïté des virus qui, à l'extérieur d'une cellule, demeurent inertes, et ne possèdent pas toutes les réactions métaboliques. La cellule au contraire, se divise, puis se spécialise. La spécialisation a un immense avantage, elle permet une plus grande efficacité dans la réalisation des fonctions essentielles. Cela renvoie à une autre question, celle de savoir si la vie, ce n'est pas d'abord la conscience ?
<LA VIE INFERNALE> La grotte de Movilée, découverte au bord de la mer Noire, est hermétiquement close depuis 60 millions d'années, elle baigne dans une odeur d'oeufs pourris. A  la surprise des biologistes c'est pourtant dans ces conditions que s'est développée une chaîne d'être vivants dont les premières créatures se sont exclusivement nourries de souffre pendant des millions d'années ! Les insectes de Movilée peuvent sembler très ordinaires, en réalité, aveugles, dépigmentés et agressifs, ils attestent que la vie peut s'adapter aux conditions extrêmes. Christian JUBERTHIE, explique qu'à la surface du premier voile, on trouve des bactéries, des champignons et des petits crustacés, ce qui prouve qu'on a des animaux à partir de l'hydrogène sulfuré. Lucien LAUBIER  estime que la vie continuerait à subsister, s'il n'y avait plus de soleil. Les oasis sous- marines sont peut-être le laboratoire des premières molécules organiques, azote, oxygène, hydrogène sulfuré. Patrick FORTERRE explique que certaines bactéries peuvent supporter l'eau bouillante.
<ORAGES ET SOUPE PRIMITIVE> Des scientifiques tentent de récréer les conditions de la ""soupe primitive"" d'où aurait jailli la vie. La recette, du méthane, de l'ammoniac, de l'hydrogène, de l'eau. André BRACK du CNRS explique que le premier sédiment s'est déposé vers 3,8 milliard d'année, avant, des origines à 3, 8 milliards d'années, il n'y a aucun indice. François RAULIN pense que Titan a beaucoup d'analogie avec la terre primitive. En 1997 une mission a été envoyée, lorsqu'elle arrivera le vaisseau deviendra un satellite qui larguera une sonde. Celle-ci disposera de deux heures et demi pour étudier l'atmosphère et de trois minutes pour transmettre. L'élément primitif du vivant c'est la cellule. Elle comprend une membrane, deux molécules, de l'ADN non modélisé. Certaines molécules s'assemblent spontanément, et forment de petits robots. La logique, duplication et assemblage.
<SOMMES NOUS SEULS DANS L'UNIVERS ?> L'interrogation sur la pluralité des mondes habités est-elle devenue scientifique ? Jean Paul PEULVAST rappelle que l'eau est nécessaire à la vie, mais qu'à un moment elle a été solide. C'est pourquoi les sondes recherchent la présence d'indices de lacs ou de mers. D'autre part le programme Sethi de la NASA a pour objectif de détecter des ondes électromagnétiques d'origine extra-terrestre. Jean HEIDMANN : 100 milliards de canaux possibles. A 52 années lumière une étoile nommée Pecta Pectoris. Il s'agit d'un disque en rotation qui pourrait être une planète en formation. Alfred VIDAL-MADJAR pense que cette étoile varie, et c'est en cela qu'elle est étonnante."	
"PRINCIPE DE L'EMISSION
A l'initiative du CNRS et de Rue des écoles, premier site de ressources pédagogiques en ligne pour élèves et enseignants, cette émission propose des interviews de chercheurs, des reportages sur l'actualité scientifique ainsi qu'une rubrique science et fiction et des conseils de lecture.
Dans la programmation de LCP/AN, ce magazine fait partie d'une série de ""journaux citoyens"", thématiques, tout en images, qui sont également déclinés sur les thèmes suivants : éducation, francophonie, défense, transports et agriculture.


DEROULEMENT CHRONOLOGIQUE
4 ou 5 reportages succèdent au sommaire en image. L'émission s'achève par la rubrique ""Science & fiction"", qui confronte la réalité scientifique à la science évoquée en fiction (cinéma, littérature ...) et par une rubrique de conseils de lecture."	"[Source : communiqué de presse du CNRS]

Paris, 20 janvier 2006

Lancement d'une nouvelle émission scientifique : Le Journal des Sciences

Le CNRS et rue des écoles lancent Le Journal des Sciences, magazine mensuel diffusé à partir du 22 janvier 2006 sur La Chaîne Parlementaire.

Dans notre paysage audiovisuel, il manquait un magazine d'actualités scientifiques qui aille aux sources de la production scientifique, dans les laboratoires et sur le terrain, là où les chercheurs travaillent. En associant la grande diversité thématique et l'excellence scientifique du CNRS à l'expérience pédagogique de rue des écoles, Le Journal des Sciences vous invite chaque mois au cœur de la science, à travers des interviews de chercheurs et des reportages dans les laboratoires.
 
Chaque numéro du Journal des Sciences présentera, en 13 minutes, des actualités scientifiques, des reportages, une rubrique Science & Fiction, apportant un éclairage scientifique sur un film de fiction, et un agenda où seront présentées quelques expositions scientifiques du moment.
 
La première diffusion sur La Chaîne Parlementaire (LCP) aura lieu le dimanche 22 janvier à 21h40, elle sera suivie de plusieurs rediffusions dans le mois. Le détail des horaires de rediffusion est indiqué sur le site de LCP : http://www.lcpan.fr/emission.asp?id=400020.
 
Le Journal des Sciences sera par ailleurs visible à tout moment sur les sites du CNRS et de rue des écoles, aux adresses suivantes :
- CNRS :                http://www2.cnrs.fr/jeunes/429.htm
- Rue des écoles : http://www.ruedesecoles.com/
 
Vous pouvez dès à présent visionner le pilote à ces adresses.
 
Le Journal des Sciences sera également diffusé gratuitement par rue des écoles dans tous les établissements scolaires.


Au sommaire du premier numéro :
 
1/ Énigme du spaghetti
C'est physique : le spaghetti cru se brise toujours en plusieurs fragments, expliquent des chercheurs de l'université Pierre et Marie Curie (Paris VI).

2/ Mains préhistoriques
Un nouveau logiciel permet de savoir si les empreintes de mains présentes sur les parois des grottes ont été laissées par des hommes ou par des femmes préhistoriques...
 
3/ Sérénade inaudible
Les sons étudiés par Timothy Holy et son collègue Zhongsheng Guo ressemblent à s'y méprendre à des chants d'oiseaux. Et pourtant, ils proviennent bel et bien de souris mâles qui poussent la chansonnette en présence de femelles ou de leurs phéromones.
 
4/ Regard sur la dyslexie
Les enfants dyslexiques présentent des troubles dans l'apprentissage de la lecture. Les théories pour expliquer leurs difficultés sont nombreuses et ne font pas l'unanimité chez les spécialistes. Des chercheurs du CNRS étudient le rôle que pourraient jouer des difficultés de mouvements des yeux chez les enfants dyslexiques.  
 
5/ Science et fiction : ' La guerre des mondes ' (sortie dvd en janvier)
Est-il envisageable que des extraterrestres débarquent sur Terre ? Des formes de vie inconnues pourraient-elles exister ailleurs ? sur Mars ? Et quelle attitude devrait-on adopter face à une vie martienne ? Les réponses d'André Brack, exobiologiste au CNRS.
 
6/ À voir
Quelques expositions scientifiques à visiter :
' Son ' au Pavillon des Sciences de Montbéliard
' Mammouth ' à l'espace Mendes France à Poitiers
' Biométrie – Le corps identité ' à la Cité des Sciences et de l'Industrie à Paris"
	Si, chaque année, près de 30 000 météorites parcourent la Terre, ce n'est qu'à la fin du dix-huitième siècle que les scientifiques ont reconnu leur existence. Depuis, et jusqu'à ce que l'on ramène des roches de la Lune, les météorites étaient la seule source de matière extraterrestre disponible.
"[Source France 3 Régions] : 
Ovnis sur la région. A Tourcoing, Cambrai et Béthune, plusieurs personnes affirment avoir vu d'étranges lueurs dans le ciel dans la nuit de samedi à dimanche. Une famille les a filmées. Les incrédules souriront. La gendarmerie a enregistré leur déposition. ///"	"Florence Mabille, Bruno Espalieu.  
 
COM 
 
Des boules grosses comme des clémentines, d'un orange vif, une vingtaine au total, c'est ce qu'ont observé et filmé Nicolas Ducloy et sa famille dans la nuit de samedi à dimanche, il était 2 heures 40. 
 
Un phénomène  qui, on vient de l'apprendre aurait une explication. Il s'agirait d'un lâcher  de montgolfières en résine destiné à animer un mariage près de Seclin cette nuit là. Reste que la gendarmerie de Béthune a longuement entendu Bernard et Nicolas Ducloy, des témoins pris au sérieux . 
 
Mais qu'en pensent les ufologues, entendez les spécialistes des Ovni comme Jean Pierre D'Hondt, qui enquête dans la région depuis très longtemps,il a vu et entendu les témoignages de cette famille de Vendin les Béthune. 
 
Alors phénomène non identifié ou pas ? des témoignages similaires à la même heure dans d'autres villes de la région laissent planer un certain doute...
Autres intervenants : DUCLOY NICOLAS (); DUCLOY BERNARD (); DUCLOY CEDRIC (); HONDT JEAN PIERRE D' (Groupement Nordiste d'Etudes des Objts Volants non Identifiés)
///

[Source France 3 Lisa : bancs titres] : 
 - Nicolas Ducloy
 - Bernard Ducloy
 - Cedric Ducloy
 - Jean-Pierre  D 'Hondt Groupement Nordiste d'Etudes des Objts Volants non Identifiés"
"Témoignage d'une jeune femme sur la secte ""Iso-Zen-Galacteus"", dont elle fut une adepte de 17 à 24 ans.
 - Interview d'Isabelle dans son salon : ""C'est complètement inhumain. On avait à faire à un psychopathe qui mettait en scène sa folie. On dormait très rarement en dehors de la communauté. Progressivement, le gourou vous déresponsabilise. On avait des coopératives pour s'approvisionner, et c'est le monde extérieur qui devenait extra-terrestre. Après en être sortie, je me réveillais avec la nausée. Pendant quatre ans j'ai suivi une psychothérapie, qui n'est pas terminée."""	
"Petit tour au bistro du coin pour recueillir les avis des consommateurs.
Renaud RAHARD donne les chiffes des sondages: ""Existent-ils? NON:66%, OUI:33%.
Laurent BLEU et Michel CHEVALET n'en ont jamais vu...Jean Pierre PETIT (astrophysicien), bien que travaillant au CNRS, précise qu'il parle en son nom et que ses collègues préfèrent rester anonymes. Le dossier OVNI flanque une peur terrible, précise-t-il; lui-même reçoit depuis 30 ans, par la Poste, des documents envoyés par les unnites. Hugo NHART, a entre les mains des rapports scientifiques de cas inexpliqués, et Boris CHOURINOV a les preuves de l'existence d'OVNI en Russie. Catherine LEMAIRE (psychothérapeute), spécialiste des hallucinations, se trouve vigoureusement remise à sa place ""on trouve normal d'inviter n'importe qui!"".
Témoignage de Pierre MONNET contacté plusieurs fois depuis 1961, raconte sa 1ère rencontre à 1h30 du matin dans le Vaucluse avec une soucoupe et 4 êtres comme nous; tout ça après avoir été téléporté 5km plus loin.
L'ET.SONNE TOUJOURS TROIS FOIS (reconstitution) Mr VIANA dans son atelier raconte comment des phénomènes étranges se sont passés: ordre télépathique, machines qui bougent, présence de deux têtes dans son atelier, téléportation de sa voiture...
Suite en plateau du témoignage de Mr MONNET, contacté une 2ème fois en 74 dans une station service.
AFFREUX PALES ET MECHANTS (reconstitution): description par un sculpteur des ET vus à travers les vitres de son atelier:""ils sont méchants, cruels, affreux et se moquent de moi"". Il est entouré de sculptures curieuses!
La discussion reprend sur l'origine et la composition d'un morceau de minerai entre Paul Eric BLANRUE, Gildas BOURDAIS et uneminéralogue Stéphanie ROSSANO...""engueulade générale"". Puis Boris CHOURINOV affirme avoir écrit des choses incontestables sur des faits inexpliqués par des raisons terrestres (il lit son livre). Gildas BOURDAIS montre que l'information est censurée dans la presse, la preuve étant l'affaire Roswell aux Etats-Unis au cours de laquelle des archives ont été détruites. Sherryl MULHERN, anthropologue met en garde contre le fait que la présence des OVNI ne repose que sur des témoignages, et l'on connait leur véracité. Pierre BEAKE a vu un OVNI, il en a parlé sous hypnose et son fils de 7 ans l'a dessiné.
EN CAMERA CACHEE: dans un village des Yvelynes, un beau matin on vient relever des empreintes dans un cadre très officiel (police, scientifiques en blouse blanche)- c'était un canular - et pourtant les témoins parlent de bruits, d'odeurs, de coupures de courant, et ont même vu..
Jimmy GUIEN tourne cette démonstration en ridicule. Jacques CARTER a pris des photos d'OVNI, et est contacté régulièrement par des ET tous les 18 ans; ils ont pris l'empreinte de son cerveau pour le retrouver plus facilement. Pierre MONNET et Gildas BOURDAIS expliquent que nous sommes tous des descendants d'ET, que nous sommes importés d'autres planètes, et qu'une certaine race d'ET est intervenue sur le génome humain...Certains des participants réclament un débat scientifique!"	
